ECO,Opening
A00,Polish (Sokolsky) opening
A01,Nimzovich-Larsen attack
A02,Bird's opening
A03,Bird's opening
A04,Reti opening
A05,Reti opening
A06,Reti opening
A07,Reti opening
A08,Reti opening
A09,Reti opening
A10,English opening
A11,English opening
A12,English opening
A13,English opening
A14,English opening
A15,English opening
A16,English opening
A17,English opening
A18,English opening
A19,English opening
A20,English opening
A21,English opening
A22,English opening
A23,English opening
A24,English opening
A25,English opening
A26,English opening
A27,English opening
A28,English opening
A29,English opening
A30,English opening
A31,English opening
A32,English opening
A33,English opening
A34,English opening
A35,English opening
A36,English opening
A37,English opening
A38,English opening
A39,English opening
A40,Queen's pawn
A41,Queen's pawn
A42,"Modern defence, Averbakh system"
A43,Old Benoni defence
A44,Old Benoni defence
A45,Queen's pawn game
A46,Queen's pawn game
A47,Queen's Indian defence
A48,"King's Indian, East Indian defence"
A49,"King's Indian, East Indian defence"
A50,Queen's pawn game
A51,Budapest defence
A52,Budapest defence
A53,Old Indian defence
A54,Old Indian defence
A55,Old Indian defence
A56,Benoni defence
A57,Benko gambit
A58,Benko gambit
A59,Benko gambit
A60,Benoni defence
A61,Benoni defence
A62,Benoni defence
A63,Benoni defence
A64,Benoni defence
A65,Benoni defence
A66,Benoni defence
A67,Benoni defence
A68,Benoni defence
A69,Benoni defence
A70,Benoni defence
A71,Benoni defence
A72,Benoni defence
A73,Benoni defence
A74,Benoni defence
A75,Benoni defence
A76,Benoni defence
A77,Benoni defence
A78,Benoni defence
A79,Benoni defence
A80,Dutch
A81,Dutch
A82,Dutch
A83,Dutch
A84,Dutch
A85,Dutch
A86,Dutch
A87,Dutch
A88,Dutch
A89,Dutch
A90,Dutch
A91,Dutch
A92,Dutch
A93,Dutch
A94,Dutch
A95,Dutch
A96,Dutch
A97,Dutch
A98,Dutch
A99,Dutch
B00,King's pawn opening
B01,Scandinavian (centre counter) defence
B02,Alekhine's defence
B03,Alekhine's defence
B04,Alekhine's defence
B05,Alekhine's defence
B06,Robatsch (modern) defence
B07,Pirc defence
B08,Pirc defence
B09,Pirc defence
B10,Caro-Kann defence
B11,Caro-Kann defence
B12,Caro-Kann defence
B13,Caro-Kann defence
B14,Caro-Kann defence
B15,Caro-Kann defence
B16,Caro-Kann defence
B17,Caro-Kann defence
B18,Caro-Kann defence
B19,Caro-Kann defence
B20,Sicilian defence
B21,Sicilian defence
B22,Sicilian defence
B23,Sicilian defence
B24,Sicilian defence
B25,Sicilian defence
B26,Sicilian defence
B27,Sicilian defence
B28,Sicilian defence
B29,Sicilian defence
B30,Sicilian defence
B31,Sicilian defence
B32,Sicilian defence
B33,Sicilian defence
B34,Sicilian defence
B35,Sicilian defence
B36,Sicilian defence
B37,Sicilian defence
B38,Sicilian defence
B39,Sicilian defence
B40,Sicilian defence
B41,Sicilian defence
B42,Sicilian defence
B43,Sicilian defence
B44,Sicilian defence
B45,Sicilian defence
B46,Sicilian defence
B47,Sicilian defence
B48,Sicilian defence
B49,Sicilian defence
B50,Sicilian defence
B51,Sicilian defence
B52,Sicilian defence
B53,Sicilian defence
B54,Sicilian defence
B55,Sicilian defence
B56,Sicilian defence
B57,Sicilian defence
B58,Sicilian defence
B59,Sicilian defence
B60,Sicilian defence
B61,Sicilian defence
B62,Sicilian defence
B63,Sicilian defence
B64,Sicilian defence
B65,Sicilian defence
B66,Sicilian defence
B67,Sicilian defence
B68,Sicilian defence
B69,Sicilian defence
B70,Sicilian defence
B71,Sicilian defence
B72,Sicilian defence
B73,Sicilian defence
B74,Sicilian defence
B75,Sicilian defence
B76,Sicilian defence
B77,Sicilian defence
B78,Sicilian defence
B79,Sicilian defence
B80,Sicilian defence
B81,Sicilian defence
B82,Sicilian defence
B83,Sicilian defence
B84,Sicilian defence
B85,Sicilian defence
B86,Sicilian defence
B87,Sicilian defence
B88,Sicilian defence
B89,Sicilian defence
