ROUND(ply/10)*10,piece,numcheckmates
0.0,bishop,193
0.0,knight,108
0.0,pawn,17
0.0,queen,2471
10.0,bishop,2447
10.0,king,7
10.0,knight,4070
10.0,pawn,283
10.0,queen,11194
10.0,rook,138
20.0,bishop,4237
20.0,king,21
20.0,knight,8815
20.0,pawn,721
20.0,queen,26326
20.0,rook,1627
30.0,bishop,6058
30.0,king,40
30.0,knight,12065
30.0,pawn,1376
30.0,queen,50023
30.0,rook,7501
40.0,bishop,7143
40.0,king,30
40.0,knight,13005
40.0,pawn,2307
40.0,queen,69539
40.0,rook,20355
50.0,bishop,7146
50.0,king,22
50.0,knight,11258
50.0,pawn,3384
50.0,queen,74989
50.0,rook,34344
60.0,bishop,5520
60.0,king,28
60.0,knight,7712
60.0,pawn,4461
60.0,queen,61471
60.0,rook,36586
70.0,bishop,3712
70.0,king,27
70.0,knight,4924
70.0,pawn,4625
70.0,queen,41310
70.0,rook,29533
80.0,bishop,2173
80.0,king,31
80.0,knight,2603
80.0,pawn,4302
80.0,queen,26868
80.0,rook,20711
90.0,bishop,1263
90.0,king,23
90.0,knight,1576
90.0,pawn,3326
90.0,queen,19246
90.0,rook,13955
100.0,bishop,811
100.0,king,33
100.0,knight,894
100.0,pawn,2836
100.0,queen,15172
100.0,rook,9394
110.0,bishop,509
110.0,king,25
110.0,knight,554
110.0,pawn,2193
110.0,queen,12741
110.0,rook,6452
120.0,bishop,326
120.0,king,25
120.0,knight,262
120.0,pawn,1568
120.0,queen,9834
120.0,rook,4246
130.0,bishop,181
130.0,king,14
130.0,knight,178
130.0,pawn,1028
130.0,queen,7124
130.0,rook,2748
140.0,bishop,143
140.0,king,11
140.0,knight,117
140.0,pawn,564
140.0,queen,4524
140.0,rook,1692
150.0,bishop,66
150.0,king,8
150.0,knight,73
150.0,pawn,278
150.0,queen,2557
150.0,rook,1054
160.0,bishop,48
160.0,king,5
160.0,knight,35
160.0,pawn,133
160.0,queen,1379
160.0,rook,637
170.0,bishop,27
170.0,king,3
170.0,knight,26
170.0,pawn,73
170.0,queen,711
170.0,rook,391
180.0,bishop,22
180.0,king,1
180.0,knight,19
180.0,pawn,39
180.0,queen,342
180.0,rook,222
190.0,bishop,17
190.0,knight,12
190.0,pawn,13
190.0,queen,170
190.0,rook,166
200.0,bishop,11
200.0,king,1
200.0,knight,6
200.0,pawn,8
200.0,queen,110
200.0,rook,106
210.0,bishop,4
210.0,knight,5
210.0,pawn,6
210.0,queen,45
210.0,rook,60
220.0,bishop,2
220.0,knight,3
220.0,pawn,2
220.0,queen,23
220.0,rook,34
230.0,bishop,3
230.0,knight,1
230.0,queen,17
230.0,rook,14
240.0,knight,2
240.0,pawn,1
240.0,queen,7
240.0,rook,15
250.0,knight,1
250.0,queen,4
250.0,rook,8
260.0,knight,1
260.0,queen,1
260.0,rook,3
270.0,knight,1
270.0,queen,1
270.0,rook,1
280.0,knight,1
280.0,rook,3
290.0,rook,1
