avgrating,piece,numcheckmates
800,bishop,93
800,king,3
800,knight,76
800,pawn,34
800,queen,897
800,rook,278
1000,bishop,1344
1000,king,15
1000,knight,1922
1000,pawn,901
1000,queen,16195
1000,rook,5829
1200,bishop,6571
1200,king,55
1200,knight,10553
1200,pawn,4645
1200,queen,74519
1200,rook,30266
1400,bishop,13417
1400,king,114
1400,knight,22436
1400,pawn,10389
1400,queen,143792
1400,rook,63046
1600,bishop,12268
1600,king,93
1600,knight,20440
1600,pawn,10374
1600,queen,124380
1600,rook,56157
1800,bishop,5986
1800,king,49
1800,knight,9393
1800,pawn,5232
1800,queen,58001
1800,rook,26693
2000,bishop,1900
2000,king,20
2000,knight,2805
2000,pawn,1582
2000,queen,16781
2000,rook,7865
2200,bishop,445
2200,king,4
2200,knight,661
2200,pawn,351
2200,queen,3371
2200,rook,1729
2400,bishop,36
2400,king,2
2400,knight,39
2400,pawn,35
2400,queen,246
2400,rook,127
2600,bishop,2
2600,knight,2
2600,pawn,1
2600,queen,17
2600,rook,7
