avgrating,Event,numgames
800,Rated Blitz game,1637
800,Rated Blitz tournament,16
800,Rated Bullet game,427
800,Rated Bullet tournament,8
800,Rated Classical game,1267
800,Rated Classical tournament,5
1000,Rated Blitz game,26527
1000,Rated Blitz tournament,968
1000,Rated Bullet game,11898
1000,Rated Bullet tournament,908
1000,Rated Classical game,24228
1000,Rated Classical tournament,171
1000,Rated Correspondence game,18
1200,Rated Blitz game,126297
1200,Rated Blitz tournament,13952
1200,Rated Bullet game,63605
1200,Rated Bullet tournament,12684
1200,Rated Classical game,114242
1200,Rated Classical tournament,1021
1200,Rated Correspondence game,868
1400,Rated Blitz game,243053
1400,Rated Blitz tournament,62930
1400,Rated Bullet game,163878
1400,Rated Bullet tournament,54551
1400,Rated Classical game,194924
1400,Rated Classical tournament,3647
1400,Rated Correspondence game,4603
1600,Rated Blitz game,221573
1600,Rated Blitz tournament,78924
1600,Rated Bullet game,173432
1600,Rated Bullet tournament,97310
1600,Rated Classical game,133201
1600,Rated Classical tournament,5359
1600,Rated Correspondence game,1946
1800,Rated Blitz game,104541
1800,Rated Blitz tournament,25344
1800,Rated Bullet game,108965
1800,Rated Bullet tournament,72461
1800,Rated Classical game,40096
1800,Rated Classical tournament,2071
1800,Rated Correspondence game,864
2000,Rated Blitz game,28735
2000,Rated Blitz tournament,2048
2000,Rated Bullet game,44594
2000,Rated Bullet tournament,24953
2000,Rated Classical game,4804
2000,Rated Classical tournament,136
2000,Rated Correspondence game,334
2200,Rated Blitz game,4778
2200,Rated Blitz tournament,97
2200,Rated Bullet game,11944
2200,Rated Bullet tournament,5026
2200,Rated Classical game,222
2200,Rated Classical tournament,5
2200,Rated Correspondence game,42
2400,Rated Blitz game,103
2400,Rated Bullet game,1180
2400,Rated Bullet tournament,532
2400,Rated Classical game,1
2600,Rated Bullet game,117
2600,Rated Bullet tournament,35
