MoveNumber,capturedpiece,numcaptures,Skill
0.0,bishop,29604,Bad
0.0,bishop,18467,Good
0.0,knight,40558,Bad
0.0,knight,27991,Good
0.0,pawn,272651,Bad
0.0,pawn,362331,Good
0.0,queen,11836,Bad
0.0,queen,5308,Good
0.0,rook,1580,Bad
0.0,rook,1008,Good
10.0,bishop,213247,Bad
10.0,bishop,162444,Good
10.0,knight,239086,Bad
10.0,knight,199470,Good
10.0,pawn,415144,Bad
10.0,pawn,437833,Good
10.0,queen,64031,Bad
10.0,queen,39656,Good
10.0,rook,18279,Bad
10.0,rook,7434,Good
20.0,bishop,247398,Bad
20.0,bishop,277454,Good
20.0,knight,279440,Bad
20.0,knight,362777,Good
20.0,pawn,421751,Bad
20.0,pawn,469941,Good
20.0,queen,83395,Bad
20.0,queen,59458,Good
20.0,rook,48895,Bad
20.0,rook,31803,Good
30.0,bishop,206790,Bad
30.0,bishop,298714,Good
30.0,knight,214068,Bad
30.0,knight,345210,Good
30.0,pawn,395319,Bad
30.0,pawn,472122,Good
30.0,queen,85007,Bad
30.0,queen,89091,Good
30.0,rook,102523,Bad
30.0,rook,114923,Good
40.0,bishop,137635,Bad
40.0,bishop,235022,Good
40.0,knight,135087,Bad
40.0,knight,237441,Good
40.0,pawn,331762,Bad
40.0,pawn,440205,Good
40.0,queen,69310,Bad
40.0,queen,109062,Good
40.0,rook,141048,Bad
40.0,rook,214890,Good
50.0,bishop,76104,Bad
50.0,bishop,153274,Good
50.0,knight,73260,Bad
50.0,knight,146473,Good
50.0,pawn,254973,Bad
50.0,pawn,394885,Good
50.0,queen,44945,Bad
50.0,queen,103381,Good
50.0,rook,120409,Bad
50.0,rook,216248,Good
60.0,bishop,37134,Bad
60.0,bishop,90338,Good
60.0,knight,36007,Bad
60.0,knight,83109,Good
60.0,pawn,182752,Bad
60.0,pawn,334804,Good
60.0,queen,24250,Bad
60.0,queen,76921,Good
60.0,rook,73869,Bad
60.0,rook,157755,Good
70.0,bishop,17855,Bad
70.0,bishop,50163,Good
70.0,knight,17054,Bad
70.0,knight,44082,Good
70.0,pawn,124055,Bad
70.0,pawn,269805,Good
70.0,queen,12497,Bad
70.0,queen,45348,Good
70.0,rook,39393,Bad
70.0,rook,96744,Good
80.0,bishop,8689,Bad
80.0,bishop,27682,Good
80.0,knight,8552,Bad
80.0,knight,22540,Good
80.0,pawn,79088,Bad
80.0,pawn,201226,Good
80.0,queen,6511,Bad
80.0,queen,23362,Good
80.0,rook,20895,Bad
80.0,rook,53444,Good
90.0,bishop,4528,Bad
90.0,bishop,14455,Good
90.0,knight,4473,Bad
90.0,knight,11491,Good
90.0,pawn,46663,Bad
90.0,pawn,136700,Good
90.0,queen,3957,Bad
90.0,queen,11965,Good
90.0,rook,11415,Bad
90.0,rook,29121,Good
100.0,bishop,2265,Bad
100.0,bishop,7856,Good
100.0,knight,2464,Bad
100.0,knight,6072,Good
100.0,pawn,25977,Bad
100.0,pawn,79921,Good
100.0,queen,2812,Bad
100.0,queen,6944,Good
100.0,rook,6248,Bad
100.0,rook,15456,Good
110.0,bishop,1220,Bad
110.0,bishop,4085,Good
110.0,knight,1254,Bad
110.0,knight,3013,Good
110.0,pawn,13282,Bad
110.0,pawn,41359,Good
110.0,queen,1916,Bad
110.0,queen,4398,Good
110.0,rook,3752,Bad
110.0,rook,8260,Good
120.0,bishop,569,Bad
120.0,bishop,1984,Good
120.0,knight,581,Bad
120.0,knight,1376,Good
120.0,pawn,6214,Bad
120.0,pawn,19181,Good
120.0,queen,1068,Bad
120.0,queen,2296,Good
120.0,rook,1950,Bad
120.0,rook,4008,Good
130.0,bishop,324,Bad
130.0,bishop,995,Good
130.0,knight,329,Bad
130.0,knight,690,Good
130.0,pawn,2750,Bad
130.0,pawn,8532,Good
130.0,queen,563,Bad
130.0,queen,1256,Good
130.0,rook,929,Bad
130.0,rook,2045,Good
140.0,bishop,157,Bad
140.0,bishop,440,Good
140.0,knight,151,Bad
140.0,knight,320,Good
140.0,pawn,1156,Bad
140.0,pawn,3511,Good
140.0,queen,341,Bad
140.0,queen,636,Good
140.0,rook,529,Bad
140.0,rook,1004,Good
150.0,bishop,87,Bad
150.0,bishop,207,Good
150.0,knight,80,Bad
150.0,knight,139,Good
150.0,pawn,455,Bad
150.0,pawn,1570,Good
150.0,queen,177,Bad
150.0,queen,318,Good
150.0,rook,224,Bad
150.0,rook,473,Good
160.0,bishop,39,Bad
160.0,bishop,108,Good
160.0,knight,32,Bad
160.0,knight,45,Good
160.0,pawn,234,Bad
160.0,pawn,679,Good
160.0,queen,90,Bad
160.0,queen,136,Good
160.0,rook,121,Bad
160.0,rook,248,Good
170.0,bishop,21,Bad
170.0,bishop,54,Good
170.0,knight,23,Bad
170.0,knight,33,Good
170.0,pawn,115,Bad
170.0,pawn,336,Good
170.0,queen,48,Bad
170.0,queen,65,Good
170.0,rook,62,Bad
170.0,rook,101,Good
180.0,bishop,19,Bad
180.0,bishop,18,Good
180.0,knight,12,Bad
180.0,knight,18,Good
180.0,pawn,53,Bad
180.0,pawn,160,Good
180.0,queen,30,Bad
180.0,queen,39,Good
180.0,rook,34,Bad
180.0,rook,90,Good
190.0,bishop,6,Bad
190.0,bishop,19,Good
190.0,knight,6,Bad
190.0,knight,11,Good
190.0,pawn,27,Bad
190.0,pawn,98,Good
190.0,queen,15,Bad
190.0,queen,21,Good
190.0,rook,10,Bad
190.0,rook,50,Good
200.0,bishop,3,Bad
