MoveNumber,piece,numcaptures,Skill
0.0,bishop,50133,Bad
0.0,bishop,34172,Good
0.0,king,5551,Bad
0.0,king,2915,Good
0.0,knight,63170,Bad
0.0,knight,79193,Good
0.0,pawn,182987,Bad
0.0,pawn,267026,Good
0.0,queen,53719,Bad
0.0,queen,31177,Good
0.0,rook,669,Bad
0.0,rook,622,Good
10.0,bishop,242048,Bad
10.0,bishop,187943,Good
10.0,king,20309,Bad
10.0,king,13284,Good
10.0,knight,213339,Bad
10.0,knight,171428,Good
10.0,pawn,311696,Bad
10.0,pawn,370548,Good
10.0,queen,151536,Bad
10.0,queen,95077,Good
10.0,rook,10859,Bad
10.0,rook,8557,Good
20.0,bishop,268870,Bad
20.0,bishop,278842,Good
20.0,king,23685,Bad
20.0,king,21588,Good
20.0,knight,248501,Bad
20.0,knight,296944,Good
20.0,pawn,290448,Bad
20.0,pawn,396452,Good
20.0,queen,200660,Bad
20.0,queen,159082,Good
20.0,rook,48715,Bad
20.0,rook,48525,Good
30.0,bishop,223317,Bad
30.0,bishop,296693,Good
30.0,king,29505,Bad
30.0,king,29543,Good
30.0,knight,196097,Bad
30.0,knight,274527,Good
30.0,pawn,224442,Bad
30.0,pawn,354955,Good
30.0,queen,204146,Bad
30.0,queen,209854,Good
30.0,rook,126200,Bad
30.0,rook,154488,Good
40.0,bishop,148921,Bad
40.0,bishop,238528,Good
40.0,king,32442,Bad
40.0,king,36541,Good
40.0,knight,128635,Bad
40.0,knight,194091,Good
40.0,pawn,153020,Bad
40.0,pawn,280005,Good
40.0,queen,168798,Bad
40.0,queen,220480,Good
40.0,rook,183026,Bad
40.0,rook,266975,Good
50.0,bishop,83260,Bad
50.0,bishop,161577,Good
50.0,king,32099,Bad
50.0,king,42039,Good
50.0,knight,74738,Bad
50.0,knight,127853,Good
50.0,pawn,97307,Bad
50.0,pawn,212052,Good
50.0,queen,112883,Bad
50.0,queen,189466,Good
50.0,rook,169404,Bad
50.0,rook,281274,Good
60.0,bishop,42352,Bad
60.0,bishop,99049,Good
60.0,king,30121,Bad
60.0,king,47160,Good
60.0,knight,39766,Bad
60.0,knight,79936,Good
60.0,pawn,60177,Bad
60.0,pawn,155228,Good
60.0,queen,63005,Bad
60.0,queen,132777,Good
60.0,rook,118591,Bad
60.0,rook,228777,Good
70.0,bishop,20396,Bad
70.0,bishop,57621,Good
70.0,king,28157,Bad
70.0,king,53021,Good
70.0,knight,20711,Bad
70.0,knight,47656,Good
70.0,pawn,36870,Bad
70.0,pawn,111878,Good
70.0,queen,32150,Bad
70.0,queen,75722,Good
70.0,rook,72570,Bad
70.0,rook,160244,Good
80.0,bishop,10032,Bad
80.0,bishop,32653,Good
80.0,king,24738,Bad
