ROUND(ply/10)*10,piece,nummates,Skill
0.0,bishop,74,Bad
0.0,bishop,15,Good
0.0,knight,51,Bad
0.0,knight,4,Good
0.0,pawn,6,Bad
0.0,pawn,1,Good
0.0,queen,1191,Bad
0.0,queen,120,Good
10.0,bishop,682,Bad
10.0,bishop,281,Good
10.0,king,2,Bad
10.0,king,3,Good
10.0,knight,1422,Bad
10.0,knight,360,Good
10.0,pawn,72,Bad
10.0,pawn,36,Good
10.0,queen,4442,Bad
10.0,queen,738,Good
10.0,rook,54,Bad
10.0,rook,18,Good
20.0,bishop,979,Bad
20.0,bishop,610,Good
20.0,king,5,Bad
20.0,king,8,Good
20.0,knight,2263,Bad
20.0,knight,1122,Good
20.0,pawn,158,Bad
20.0,pawn,110,Good
20.0,queen,8184,Bad
20.0,queen,2689,Good
20.0,rook,435,Bad
20.0,rook,211,Good
30.0,bishop,1249,Bad
30.0,bishop,1020,Good
30.0,king,8,Bad
30.0,king,11,Good
30.0,knight,2356,Bad
30.0,knight,2021,Good
30.0,pawn,318,Bad
30.0,pawn,235,Good
30.0,queen,13069,Bad
30.0,queen,6268,Good
30.0,rook,1865,Bad
30.0,rook,1050,Good
40.0,bishop,1368,Bad
40.0,bishop,1439,Good
40.0,king,4,Bad
40.0,king,5,Good
40.0,knight,2073,Bad
40.0,knight,2548,Good
40.0,pawn,483,Bad
40.0,pawn,410,Good
40.0,queen,15643,Bad
40.0,queen,10363,Good
40.0,rook,4607,Bad
40.0,rook,3131,Good
50.0,bishop,1272,Bad
50.0,bishop,1472,Good
50.0,king,12,Bad
50.0,king,3,Good
50.0,knight,1663,Bad
50.0,knight,2422,Good
50.0,pawn,650,Bad
50.0,pawn,667,Good
50.0,queen,14404,Bad
50.0,queen,13399,Good
50.0,rook,6764,Bad
50.0,rook,5952,Good
60.0,bishop,920,Bad
60.0,bishop,1274,Good
60.0,king,6,Bad
60.0,king,2,Good
60.0,knight,1096,Bad
60.0,knight,1804,Good
60.0,pawn,721,Bad
60.0,pawn,937,Good
60.0,queen,10351,Bad
60.0,queen,12702,Good
60.0,rook,6575,Bad
60.0,rook,6947,Good
70.0,bishop,598,Bad
70.0,bishop,893,Good
70.0,king,9,Bad
70.0,king,4,Good
70.0,knight,730,Bad
70.0,knight,1136,Good
70.0,pawn,743,Bad
70.0,pawn,1067,Good
70.0,queen,6666,Bad
70.0,queen,9335,Good
70.0,rook,4946,Bad
70.0,rook,6148,Good
80.0,bishop,342,Bad
80.0,bishop,524,Good
80.0,king,7,Bad
80.0,king,4,Good
80.0,knight,369,Bad
80.0,knight,633,Good
80.0,pawn,675,Bad
80.0,pawn,1021,Good
80.0,queen,4505,Bad
80.0,queen,6310,Good
80.0,rook,3548,Bad
80.0,rook,4438,Good
90.0,bishop,198,Bad
90.0,bishop,338,Good
90.0,king,2,Bad
90.0,king,5,Good
90.0,knight,230,Bad
90.0,knight,368,Good
90.0,pawn,549,Bad
90.0,pawn,763,Good
90.0,queen,3472,Bad
90.0,queen,4328,Good
90.0,rook,2490,Bad
90.0,rook,3059,Good
100.0,bishop,127,Bad
100.0,bishop,209,Good
100.0,king,5,Bad
100.0,king,6,Good
100.0,knight,120,Bad
100.0,knight,192,Good
100.0,pawn,434,Bad
100.0,pawn,620,Good
100.0,queen,2796,Bad
100.0,queen,3375,Good
100.0,rook,1666,Bad
100.0,rook,1989,Good
110.0,bishop,76,Bad
110.0,bishop,113,Good
110.0,king,5,Bad
110.0,king,5,Good
110.0,knight,91,Bad
110.0,knight,117,Good
110.0,pawn,307,Bad
110.0,pawn,496,Good
110.0,queen,2186,Bad
110.0,queen,2892,Good
110.0,rook,1234,Bad
110.0,rook,1316,Good
120.0,bishop,44,Bad
120.0,bishop,76,Good
120.0,king,3,Bad
120.0,king,8,Good
120.0,knight,33,Bad
120.0,knight,65,Good
