avgrating,move1,move2,move3,move4,numgames
800,,,,,3
800,a2a3,a7a5,b1c3,b8c6,1
800,a2a3,a7a6,b1c3,g8f6,1
800,a2a3,b7b6,b1c3,c7c5,1
800,a2a3,b8c6,b2b3,e7e5,1
800,a2a3,c7c5,b2b4,c5b4,1
800,a2a3,d7d5,b1c3,g8f6,1
800,a2a3,d7d6,b1c3,e7e5,1
800,a2a3,e7e5,b1c3,d7d5,1
800,a2a3,e7e5,b2b3,g8f6,1
800,a2a3,e7e6,e2e3,d7d5,1
800,a2a4,a7a5,b1c3,e7e5,1
800,a2a4,a7a5,d2d4,b7b6,1
800,a2a4,b8c6,b1c3,d7d6,1
800,a2a4,b8c6,b2b4,a7a6,1
800,a2a4,b8c6,c2c3,g8f6,1
800,a2a4,c7c5,c2c4,b7b6,1
800,a2a4,d7d5,a4a5,b8c6,1
800,a2a4,d7d5,a4a5,g8f6,1
800,a2a4,d7d5,b1c3,g8f6,1
800,a2a4,d7d5,d2d4,c8f5,1
800,a2a4,d7d5,d2d4,d8d6,1
800,a2a4,d7d5,d2d4,e7e6,1
800,a2a4,e7e5,a1a3,f8a3,1
800,a2a4,e7e5,a4a5,f7f5,1
800,a2a4,e7e5,b1c3,d8h4,1
800,a2a4,e7e5,b1c3,f8c5,1
800,a2a4,e7e5,b1c3,g8f6,1
800,a2a4,e7e5,b2b3,d7d5,1
800,a2a4,e7e5,e2e3,d7d5,1
800,a2a4,e7e5,e2e3,f7f5,1
800,a2a4,e7e5,e2e4,b8c6,1
800,a2a4,e7e5,e2e4,d7d6,1
800,a2a4,e7e5,e2e4,f7f5,1
800,a2a4,e7e6,e2e4,f8c5,1
800,a2a4,g8f6,b1c3,d7d6,1
800,b1a3,e7e5,e2e4,,1
800,b1a3,e7e5,e2e4,f8c5,1
800,b1a3,e7e5,g2g3,d7d5,1
800,b1c3,a7a5,c3b5,b7b6,1
800,b1c3,a7a5,g1f3,a8a6,1
800,b1c3,b7b5,c3b5,c7c6,1
800,b1c3,b8c6,c3b5,a7a6,1
800,b1c3,b8c6,c3d5,e7e6,1
800,b1c3,b8c6,d2d3,d7d5,1
800,b1c3,b8c6,d2d3,g7g5,1
800,b1c3,b8c6,e2e3,g8f6,1
800,b1c3,b8c6,g1f3,a7a6,1
800,b1c3,b8c6,g1f3,g8f6,1
800,b1c3,b8c6,g1f3,h7h5,1
800,b1c3,c7c5,d2d3,b8c6,2
800,b1c3,c7c5,e2e4,e7e5,1
800,b1c3,c7c6,d2d3,d7d5,1
800,b1c3,c7c6,d2d4,d7d5,2
800,b1c3,c7c6,e2e4,d7d5,1
800,b1c3,d7d5,a2a3,g7g6,1
800,b1c3,d7d5,c3d5,d8d5,1
800,b1c3,d7d5,d2d4,b8c6,1
800,b1c3,d7d5,d2d4,c7c6,1
800,b1c3,d7d5,d2d4,e7e5,1
800,b1c3,d7d5,d2d4,e7e6,1
800,b1c3,d7d5,d2d4,g8f6,1
800,b1c3,d7d5,e2e3,d5d4,1
800,b1c3,d7d5,e2e4,d5e4,1
800,b1c3,d7d5,g1f3,b8c6,2
800,b1c3,d7d5,g1f3,g8f6,1
800,b1c3,d7d5,h2h3,e7e6,1
800,b1c3,d7d6,d2d3,d8d7,1
800,b1c3,d7d6,d2d3,g7g6,1
800,b1c3,d7d6,g1f3,e7e6,1
800,b1c3,e7e5,b2b4,b8c6,1
800,b1c3,e7e5,c3d5,b8c6,1
800,b1c3,e7e5,d2d3,c7c6,1
800,b1c3,e7e5,d2d3,d8h4,1
800,b1c3,e7e5,d2d3,f8b4,2
800,b1c3,e7e5,d2d3,f8c5,1
800,b1c3,e7e5,d2d4,b8c6,1
800,b1c3,e7e5,d2d4,f7f6,2
800,b1c3,e7e5,e2e3,f8c5,1
800,b1c3,e7e5,e2e4,b8c6,3
800,b1c3,e7e5,e2e4,c7c6,2
800,b1c3,e7e5,e2e4,d7d5,1
800,b1c3,e7e5,e2e4,f8b4,1
800,b1c3,e7e5,e2e4,f8c5,1
800,b1c3,e7e5,e2e4,f8d6,1
800,b1c3,e7e5,e2e4,g8f6,5
800,b1c3,e7e5,g1f3,b8c6,6
800,b1c3,e7e5,g1f3,e5e4,1
800,b1c3,e7e6,e2e3,f7f5,1
800,b1c3,f7f6,h2h3,a7a6,1
800,b1c3,g7g6,g1f3,f8g7,1
800,b1c3,g8f6,g1f3,c7c5,1
800,b1c3,g8f6,h2h3,e7e5,1
800,b1c3,h7h5,g1f3,c7c6,1
800,b1c3,h7h6,g1f3,g8f6,1
800,b2b3,a7a5,a2a4,b8c6,1
800,b2b3,b8c6,b1c3,,1
800,b2b3,b8c6,c2c4,a7a6,1
800,b2b3,d7d5,b1c3,g8f6,1
800,b2b3,d7d5,c1b2,c7c6,1
800,b2b3,d7d5,c1b2,d5d4,1
800,b2b3,d7d5,c2c3,c8f5,1
800,b2b3,d7d5,c2c4,d5c4,1
800,b2b3,d7d5,d2d4,g8f6,1
800,b2b3,e7e5,b3b4,f7f5,1
800,b2b3,e7e5,c1b2,b8c6,1
800,b2b3,e7e5,c1b2,f7f6,1
800,b2b3,e7e5,c2c4,e5e4,1
800,b2b3,e7e6,c1b2,d7d6,1
800,b2b3,e7e6,f2f3,b8c6,1
800,b2b3,f7f5,c1b2,c7c5,1
800,b2b3,g7g5,c1a3,f8g7,1
800,b2b3,g7g6,c2c4,f8h6,1
800,b2b4,b7b5,d2d4,d7d5,1
800,b2b4,b7b6,,,1
800,b2b4,b7b6,e2e4,c8b7,2
800,b2b4,b8c6,b1c3,c6b4,1
800,b2b4,b8c6,c2c3,e7e5,1
800,b2b4,b8c6,c2c3,g8f6,2
800,b2b4,b8c6,d2d3,g8f6,1
800,b2b4,b8c6,h2h3,c6b4,1
800,b2b4,c7c5,a2a3,c5b4,1
800,b2b4,c7c6,e2e4,d7d6,1
800,b2b4,d7d5,d2d4,c7c6,1
800,b2b4,d7d6,c1b2,b7b6,1
800,b2b4,d7d6,d2d3,g7g6,1
800,b2b4,d7d6,d2d4,c7c5,1
800,b2b4,d7d6,d2d4,c8e6,1
800,b2b4,d7d6,d2d4,e7e6,1
800,b2b4,e7e5,b1c3,f8b4,1
800,b2b4,e7e5,c1a3,f8d6,1
800,b2b4,e7e5,c1b2,f8b4,1
800,b2b4,e7e5,c2c3,b8c6,1
800,b2b4,e7e5,c2c3,d7d6,1
800,b2b4,e7e5,c2c3,d8g5,1
800,b2b4,e7e5,c2c4,f7f6,1
800,b2b4,e7e5,e2e4,a7a6,1
800,b2b4,e7e5,e2e4,b8c6,1
800,b2b4,e7e5,e2e4,d7d5,1
800,b2b4,e7e5,e2e4,d7d6,4
800,b2b4,e7e5,e2e4,d8g5,1
800,b2b4,e7e5,e2e4,d8h4,1
800,b2b4,e7e5,e2e4,f7f6,2
800,b2b4,e7e5,e2e4,f8b4,4
800,b2b4,e7e5,e2e4,g8f6,5
800,b2b4,e7e5,f2f4,d7d6,1
800,b2b4,e7e6,b1c3,d7d5,1
800,b2b4,e7e6,c1a3,f8c5,1
800,b2b4,e7e6,c1b2,f8b4,2
800,b2b4,g7g5,g2g4,f8g7,1
800,b2b4,g7g6,g1f3,f8g7,1
800,b2b4,g8f6,d2d4,d7d5,1
800,b2b4,g8f6,g1f3,b8c6,1
800,b2b4,g8f6,g1f3,c7c6,1
800,b2b4,g8f6,g1f3,d7d6,1
800,c2c3,c7c5,d2d4,e7e6,1
800,c2c3,d7d5,d1a4,c7c6,1
800,c2c3,d7d5,d2d4,b8c6,1
800,c2c3,d7d5,d2d4,e7e6,1
800,c2c3,e7e5,,,1
800,c2c3,e7e5,b1a3,f8c5,1
800,c2c3,e7e5,b2b4,a7a5,1
800,c2c3,e7e5,d2d3,f8c5,1
800,c2c3,e7e5,d2d4,d7d6,1
800,c2c3,e7e5,d2d4,e5e4,1
800,c2c3,e7e5,d2d4,f8d6,1
800,c2c3,e7e5,e2e4,d7d6,1
800,c2c3,e7e5,g2g3,f7f6,1
800,c2c3,e7e6,d2d4,d7d6,1
800,c2c3,e7e6,e2e3,b8c6,1
800,c2c3,e7e6,e2e3,h7h5,1
800,c2c3,e7e6,g1f3,f7f6,1
800,c2c3,e7e6,g2g3,d8f6,1
800,c2c3,g7g6,b2b4,d7d6,1
800,c2c4,b7b6,b2b4,c8b7,1
800,c2c4,b7b6,e2e4,c8b7,1
800,c2c4,b8a6,d2d4,d7d5,1
800,c2c4,b8c6,b2b3,d7d5,1
800,c2c4,b8c6,b2b3,g8f6,2
800,c2c4,b8c6,f2f4,c6a5,1
800,c2c4,b8c6,f2f4,g8f6,1
800,c2c4,c7c5,a2a3,b8c6,1
800,c2c4,c7c5,b1c3,b7b6,1
800,c2c4,c7c5,b1c3,b8c6,1
800,c2c4,c7c5,b1c3,e7e5,1
800,c2c4,c7c5,b2b3,b8c6,1
800,c2c4,c7c5,b2b3,g8f6,2
800,c2c4,c7c5,d2d4,d7d5,1
800,c2c4,c7c5,d2d4,d7d6,1
800,c2c4,c7c5,e2e4,b8c6,1
800,c2c4,c7c5,e2e4,e7e5,1
800,c2c4,c7c5,f2f4,g8f6,1
800,c2c4,c7c5,g1f3,d7d5,1
800,c2c4,c7c6,b1a3,d7d5,1
800,c2c4,c7c6,b1c3,d7d5,1
800,c2c4,d7d5,b1a3,d5c4,1
800,c2c4,d7d5,b1c3,d5c4,1
800,c2c4,d7d5,b2b3,d5c4,1
800,c2c4,d7d5,c4c5,e7e6,1
800,c2c4,d7d5,c4d5,c7c5,1
800,c2c4,d7d5,c4d5,d8d5,3
800,c2c4,d7d5,d2d3,c8f5,1
800,c2c4,d7d5,g2g3,d5c4,1
800,c2c4,d7d6,b1c3,b8a6,1
800,c2c4,d7d6,b1c3,e7e5,1
800,c2c4,e7e5,b1a3,f8a3,1
800,c2c4,e7e5,b1c3,b8c6,6
800,c2c4,e7e5,b1c3,c7c6,1
800,c2c4,e7e5,b1c3,d7d6,1
800,c2c4,e7e5,b1c3,f8c5,1
800,c2c4,e7e5,b1c3,g7g6,1
800,c2c4,e7e5,b1c3,g8f6,1
800,c2c4,e7e5,b2b3,d7d5,1
800,c2c4,e7e5,b2b3,d8g5,1
800,c2c4,e7e5,b2b3,f8c5,1
800,c2c4,e7e5,d2d3,b8c6,1
800,c2c4,e7e5,d2d3,c7c6,1
800,c2c4,e7e5,d2d3,f8b4,1
800,c2c4,e7e5,d2d3,g8f6,1
800,c2c4,e7e5,d2d4,e5d4,1
800,c2c4,e7e5,e2e4,b8c6,1
800,c2c4,e7e5,e2e4,c7c6,1
800,c2c4,e7e5,e2e4,d7d6,1
800,c2c4,e7e5,e2e4,d8f6,1
800,c2c4,e7e5,e2e4,d8h4,1
800,c2c4,e7e5,e2e4,f8b4,1
800,c2c4,e7e5,e2e4,f8c5,1
800,c2c4,e7e5,e2e4,g8f6,2
800,c2c4,e7e5,f2f3,g8f6,1
800,c2c4,e7e5,f2f4,b8c6,1
800,c2c4,e7e5,f2f4,d7d6,1
800,c2c4,e7e5,g2g3,d7d5,1
800,c2c4,e7e6,a2a3,f8c5,1
800,c2c4,e7e6,b1c3,c7c5,1
800,c2c4,e7e6,b1c3,d7d5,1
800,c2c4,e7e6,f2f4,g7g6,1
800,c2c4,f7f5,b1c3,e7e5,1
800,c2c4,f7f5,b1c3,g8f6,1
800,c2c4,g7g6,b2b4,g8f6,1
800,c2c4,g8f6,d2d3,d7d5,1
800,c2c4,g8f6,d2d4,g7g6,1
800,c2c4,g8h6,b1c3,g7g6,1
800,d2d3,a7a5,e2e4,b7b6,1
800,d2d3,a7a5,g1f3,b7b6,1
800,d2d3,b7b6,f2f3,c8b7,1
800,d2d3,b8c6,e2e4,g8f6,1
800,d2d3,c7c6,e2e4,d7d5,1
800,d2d3,d7d5,a2a4,e7e6,2
800,d2d3,d7d5,b1c3,e7e5,1
800,d2d3,d7d5,b1c3,e7e6,1
800,d2d3,d7d5,b1c3,g8f6,1
800,d2d3,d7d5,b1d2,b8c6,1
800,d2d3,d7d5,c1d2,,1
800,d2d3,d7d5,c1e3,e7e6,1
800,d2d3,d7d5,c1h6,g8h6,1
800,d2d3,d7d5,c2c3,b8c6,1
800,d2d3,d7d5,c2c3,c7c5,1
800,d2d3,d7d5,d3d4,c7c6,1
800,d2d3,d7d5,d3d4,e7e6,1
800,d2d3,d7d5,d3d4,f7f6,1
800,d2d3,d7d5,e2e3,b8c6,2
