avgrating,move1,move2,numgames_firstmoves
800,,,3
800,a2a3,a7a5,1
800,a2a3,a7a6,1
800,a2a3,b7b6,1
800,a2a3,b8c6,1
800,a2a3,c7c5,1
800,a2a3,d7d5,1
800,a2a3,d7d6,1
800,a2a3,e7e5,2
800,a2a3,e7e6,1
800,a2a4,a7a5,2
800,a2a4,b8c6,3
800,a2a4,c7c5,1
800,a2a4,d7d5,6
800,a2a4,e7e5,11
800,a2a4,e7e6,1
800,a2a4,g8f6,1
800,b1a3,e7e5,3
800,b1c3,a7a5,2
800,b1c3,b7b5,1
800,b1c3,b8c6,8
800,b1c3,c7c5,3
800,b1c3,c7c6,4
800,b1c3,d7d5,13
800,b1c3,d7d6,3
800,b1c3,e7e5,32
800,b1c3,e7e6,1
800,b1c3,f7f6,1
800,b1c3,g7g6,1
800,b1c3,g8f6,2
800,b1c3,h7h5,1
800,b1c3,h7h6,1
800,b2b3,a7a5,1
800,b2b3,b8c6,2
800,b2b3,d7d5,6
800,b2b3,e7e5,4
800,b2b3,e7e6,2
800,b2b3,f7f5,1
800,b2b3,g7g5,1
800,b2b3,g7g6,1
800,b2b4,b7b5,1
800,b2b4,b7b6,3
800,b2b4,b8c6,6
800,b2b4,c7c5,1
800,b2b4,c7c6,1
800,b2b4,d7d5,1
800,b2b4,d7d6,5
800,b2b4,e7e5,28
800,b2b4,e7e6,4
800,b2b4,g7g5,1
800,b2b4,g7g6,1
800,b2b4,g8f6,4
800,c2c3,c7c5,1
800,c2c3,d7d5,3
800,c2c3,e7e5,9
800,c2c3,e7e6,5
800,c2c3,g7g6,1
800,c2c4,b7b6,2
800,c2c4,b8a6,1
800,c2c4,b8c6,5
800,c2c4,c7c5,13
800,c2c4,c7c6,2
800,c2c4,d7d5,10
800,c2c4,d7d6,2
800,c2c4,e7e5,33
800,c2c4,e7e6,4
800,c2c4,f7f5,2
800,c2c4,g7g6,1
800,c2c4,g8f6,2
800,c2c4,g8h6,1
800,d2d3,a7a5,2
800,d2d3,b7b6,1
800,d2d3,b8c6,1
800,d2d3,c7c6,1
800,d2d3,d7d5,21
800,d2d3,e7e5,21
800,d2d3,e7e6,2
800,d2d3,f7f5,1
800,d2d3,f7f6,1
800,d2d3,g8f6,4
800,d2d4,a7a5,9
800,d2d4,a7a6,1
800,d2d4,b7b5,1
800,d2d4,b7b6,6
800,d2d4,b8a6,1
800,d2d4,b8c6,57
800,d2d4,c7c5,12
800,d2d4,c7c6,14
800,d2d4,d7d5,421
800,d2d4,d7d6,45
800,d2d4,e7e5,31
800,d2d4,e7e6,94
800,d2d4,f7f5,14
800,d2d4,f7f6,5
800,d2d4,g7g5,1
800,d2d4,g7g6,7
800,d2d4,g8f6,47
800,d2d4,g8h6,1
800,d2d4,h7h5,2
800,d2d4,h7h6,3
800,e2e3,b7b5,1
800,e2e3,b7b6,4
800,e2e3,b8c6,3
800,e2e3,c7c5,11
800,e2e3,c7c6,2
800,e2e3,d7d5,29
800,e2e3,d7d6,6
800,e2e3,e7e5,81
800,e2e3,e7e6,9
800,e2e3,f7f5,1
800,e2e3,g7g6,1
800,e2e3,g8f6,5
800,e2e4,,1
800,e2e4,a7a5,13
800,e2e4,a7a6,1
800,e2e4,b7b5,3
800,e2e4,b7b6,17
800,e2e4,b8a6,2
800,e2e4,b8c6,39
800,e2e4,c7c5,128
800,e2e4,c7c6,26
800,e2e4,d7d5,197
800,e2e4,d7d6,67
800,e2e4,e7e5,1056
800,e2e4,e7e6,121
800,e2e4,f7f5,10
800,e2e4,f7f6,7
800,e2e4,g7g5,6
800,e2e4,g7g6,27
800,e2e4,g8f6,78
800,e2e4,g8h6,1
800,e2e4,h7h5,8
800,f2f3,b8c6,1
800,f2f3,e7e5,1
800,f2f4,b8c6,2
800,f2f4,d7d5,5
800,f2f4,e7e6,4
800,f2f4,f7f5,2
800,f2f4,g8f6,4
800,f2f4,h7h6,1
800,g1f3,a7a5,1
