MoveNumber,piece,nummoves,Skill
0.0,bishop,478819,Bad
0.0,bishop,517523,Good
0.0,king,36361,Bad
0.0,king,62008,Good
0.0,knight,865714,Bad
0.0,knight,1105486,Good
0.0,pawn,1961124,Bad
0.0,pawn,2533502,Good
0.0,queen,185122,Bad
0.0,queen,81096,Good
0.0,rook,3397,Bad
0.0,rook,3687,Good
10.0,bishop,914049,Bad
10.0,bishop,1125093,Good
10.0,king,273933,Bad
10.0,king,489749,Good
10.0,knight,869373,Bad
10.0,knight,1059388,Good
10.0,pawn,1207520,Bad
10.0,pawn,1607861,Good
10.0,queen,446729,Bad
10.0,queen,353640,Good
10.0,rook,64999,Bad
10.0,rook,101331,Good
20.0,bishop,725781,Bad
20.0,bishop,947521,Good
20.0,king,302246,Bad
20.0,king,340649,Good
20.0,knight,786960,Bad
20.0,knight,1083453,Good
20.0,pawn,921074,Bad
20.0,pawn,1331550,Good
20.0,queen,548533,Bad
20.0,queen,581015,Good
20.0,rook,225555,Bad
20.0,rook,354726,Good
30.0,bishop,551138,Bad
30.0,bishop,811245,Good
30.0,king,275646,Bad
30.0,king,255592,Good
30.0,knight,608731,Bad
30.0,knight,938479,Good
30.0,pawn,688827,Bad
30.0,pawn,1055827,Good
30.0,queen,541865,Bad
30.0,queen,709958,Good
30.0,rook,453279,Bad
30.0,rook,647826,Good
40.0,bishop,367528,Bad
40.0,bishop,625744,Good
40.0,king,285818,Bad
40.0,king,295272,Good
40.0,knight,410376,Bad
40.0,knight,680252,Good
40.0,pawn,500558,Bad
40.0,pawn,837170,Good
40.0,queen,442416,Bad
40.0,queen,703837,Good
40.0,rook,586439,Bad
40.0,rook,893630,Good
50.0,bishop,219186,Bad
50.0,bishop,448504,Good
50.0,king,308046,Bad
50.0,king,398173,Good
50.0,knight,251602,Bad
50.0,knight,463004,Good
50.0,pawn,364346,Bad
50.0,pawn,679491,Good
50.0,queen,305458,Bad
50.0,queen,597588,Good
50.0,rook,532869,Bad
50.0,rook,906637,Good
