avgrating,nummoves,numgames
800,0,3
800,1,1
800,2,62
800,3,21
800,4,13
800,5,10
800,6,19
800,7,33
800,8,14
800,9,27
800,10,19
800,11,30
800,12,26
800,13,30
800,14,26
800,15,31
800,16,31
800,17,28
800,18,35
800,19,40
800,20,43
800,21,44
800,22,43
800,23,38
800,24,30
800,25,37
800,26,39
800,27,29
800,28,53
800,29,40
800,30,33
800,31,50
800,32,35
800,33,48
800,34,39
800,35,41
800,36,45
800,37,38
800,38,38
800,39,44
800,40,36
800,41,46
800,42,46
800,43,55
800,44,35
800,45,42
800,46,54
800,47,45
800,48,42
800,49,41
800,50,55
800,51,52
800,52,35
800,53,38
800,54,47
800,55,51
800,56,37
800,57,46
800,58,37
800,59,32
800,60,38
800,61,37
800,62,33
800,63,41
800,64,41
800,65,37
800,66,38
800,67,25
800,68,26
800,69,28
800,70,36
800,71,22
800,72,25
800,73,32
800,74,26
800,75,28
800,76,31
800,77,25
800,78,30
800,79,21
800,80,24
800,81,10
800,82,21
800,83,20
800,84,21
800,85,19
800,86,17
800,87,9
800,88,18
800,89,21
800,90,14
800,91,13
800,92,14
800,93,19
800,94,13
800,95,17
800,96,16
800,97,7
800,98,6
800,99,10
800,100,8
800,101,5
800,102,14
800,103,11
800,104,7
800,105,8
800,106,5
800,107,8
800,108,10
800,109,10
800,110,6
800,111,4
800,112,9
800,113,5
800,114,5
800,115,2
800,116,4
800,117,9
800,118,5
800,119,5
800,120,3
800,121,6
800,122,9
800,123,6
800,124,3
800,125,5
800,126,3
800,127,4
800,128,3
800,129,7
800,130,3
800,131,7
800,132,3
800,133,1
800,135,1
800,136,5
800,137,1
800,138,1
800,139,1
800,140,2
800,141,2
800,142,3
800,143,3
800,144,2
800,145,3
800,148,3
800,152,1
800,153,3
800,154,1
800,155,4
800,158,1
800,160,2
800,162,1
800,165,1
800,168,1
800,170,1
800,171,1
800,178,1
800,181,1
800,182,1
800,192,2
800,225,1
1000,0,274
1000,1,135
1000,2,610
1000,3,197
1000,4,151
1000,5,166
1000,6,171
1000,7,412
1000,8,261
1000,9,445
1000,10,325
1000,11,442
1000,12,383
1000,13,521
1000,14,465
1000,15,556
1000,16,454
1000,17,582
1000,18,506
1000,19,604
1000,20,509
1000,21,643
1000,22,579
1000,23,643
1000,24,607
1000,25,694
1000,26,655
1000,27,734
1000,28,666
1000,29,787
1000,30,758
1000,31,886
1000,32,707
1000,33,866
1000,34,806
1000,35,871
1000,36,788
1000,37,933
1000,38,904
1000,39,928
1000,40,930
1000,41,972
1000,42,917
1000,43,979
1000,44,991
1000,45,1026
1000,46,975
1000,47,1036
1000,48,991
1000,49,1007
1000,50,1010
1000,51,975
1000,52,903
1000,53,959
1000,54,910
1000,55,939
1000,56,884
1000,57,856
1000,58,922
1000,59,860
1000,60,773
1000,61,768
1000,62,740
1000,63,749
1000,64,778
1000,65,718
1000,66,673
1000,67,638
1000,68,659
1000,69,604
1000,70,575
1000,71,639
1000,72,533
1000,73,507
1000,74,516
1000,75,500
1000,76,473
1000,77,485
1000,78,444
1000,79,451
1000,80,407
1000,81,358
1000,82,360
1000,83,339
1000,84,315
1000,85,357
1000,86,340
1000,87,323
1000,88,305
1000,89,297
1000,90,265
1000,91,280
1000,92,276
1000,93,248
1000,94,250
1000,95,242
1000,96,248
1000,97,225
1000,98,195
1000,99,211
1000,100,188
1000,101,186
1000,102,206
1000,103,175
1000,104,159
1000,105,184
1000,106,164
1000,107,147
1000,108,167
1000,109,145
1000,110,133
1000,111,143
1000,112,138
1000,113,115
1000,114,111
1000,115,108
1000,116,105
1000,117,116
1000,118,114
1000,119,100
1000,120,89
1000,121,93
1000,122,100
1000,123,86
1000,124,81
1000,125,83
1000,126,87
1000,127,71
1000,128,77
1000,129,61
1000,130,62
1000,131,59
1000,132,54
1000,133,63
1000,134,62
1000,135,55
1000,136,50
1000,137,43
1000,138,49
1000,139,42
1000,140,48
1000,141,29
1000,142,39
1000,143,31
1000,144,29
1000,145,40
1000,146,27
1000,147,21
1000,148,22
1000,149,25
1000,150,21
1000,151,18
1000,152,27
1000,153,18
1000,154,15
1000,155,17
1000,156,11
1000,157,21
1000,158,12
1000,159,9
1000,160,10
1000,161,6
1000,162,8
1000,163,8
1000,164,16
1000,165,10
1000,166,9
1000,167,11
1000,168,5
1000,169,7
1000,170,8
1000,171,5
1000,172,6
1000,173,4
1000,174,3
1000,175,2
1000,176,6
1000,177,2
1000,178,7
1000,179,6
1000,180,4
1000,181,3
1000,182,2
1000,183,4
1000,184,2
1000,185,6
1000,186,4
1000,187,1
1000,188,2
1000,189,5
1000,190,2
1000,192,4
1000,193,1
1000,194,3
1000,195,3
1000,196,4
1000,197,1
1000,198,4
1000,199,3
1000,200,3
1000,201,1
1000,202,1
1000,203,2
1000,204,3
1000,205,3
1000,206,2
1000,210,1
1000,212,1
1000,213,1
1000,214,2
1000,216,2
1000,218,2
1000,220,1
1000,221,3
1000,224,1
1000,227,1
1000,229,1
1000,238,1
1000,239,1
1000,240,1
1000,246,1
1000,247,1
1000,257,1
1000,278,1
1000,279,1
1000,283,1
1200,0,2597
1200,1,1479
1200,2,1967
1200,3,801
1200,4,528
1200,5,607
1200,6,536
1200,7,1077
1200,8,724
1200,9,1208
1200,10,975
1200,11,1396
1200,12,1223
1200,13,1800
1200,14,1290
1200,15,1992
1200,16,1543
1200,17,2144
1200,18,1678
1200,19,2327
1200,20,1915
1200,21,2466
1200,22,2136
1200,23,2574
1200,24,2291
1200,25,2980
1200,26,2545
1200,27,3195
1200,28,2712
1200,29,3409
1200,30,3024
1200,31,3552
1200,32,3154
1200,33,3758
1200,34,3465
1200,35,3941
1200,36,3821
1200,37,4344
1200,38,4075
1200,39,4557
1200,40,4249
1200,41,4708
1200,42,4439
1200,43,4980
1200,44,4764
1200,45,5129
1200,46,4952
1200,47,5222
1200,48,5014
1200,49,5345
1200,50,5106
1200,51,5396
1200,52,5139
1200,53,5201
1200,54,5156
1200,55,5216
1200,56,5141
1200,57,5010
1200,58,4915
1200,59,4855
1200,60,4677
1200,61,4643
1200,62,4436
1200,63,4293
1200,64,4164
1200,65,4108
1200,66,3988
1200,67,3954
1200,68,3789
1200,69,3701
1200,70,3448
1200,71,3439
1200,72,3302
1200,73,3084
1200,74,3039
1200,75,3016
1200,76,2795
1200,77,2848
1200,78,2683
1200,79,2556
1200,80,2499
1200,81,2342
1200,82,2350
1200,83,2207
1200,84,2136
1200,85,2150
1200,86,2023
1200,87,1894
1200,88,1871
1200,89,1802
1200,90,1773
1200,91,1727
1200,92,1663
1200,93,1622
1200,94,1540
1200,95,1474
1200,96,1456
1200,97,1415
1200,98,1440
1200,99,1298
1200,100,1245
1200,101,1156
1200,102,1234
1200,103,1141
1200,104,1172
1200,105,1042
1200,106,1057
1200,107,939
1200,108,992
1200,109,922
1200,110,972
1200,111,852
1200,112,821
1200,113,819
1200,114,783
1200,115,814
1200,116,742
1200,117,697
1200,118,690
1200,119,670
1200,120,615
1200,121,613
1200,122,578
1200,123,566
1200,124,579
1200,125,505
1200,126,477
1200,127,502
1200,128,449
1200,129,437
1200,130,445
1200,131,399
1200,132,381
1200,133,339
1200,134,360
1200,135,316
1200,136,286
1200,137,293
1200,138,274
1200,139,264
1200,140,259
1200,141,236
1200,142,222
1200,143,232
1200,144,213
1200,145,193
1200,146,181
1200,147,193
1200,148,188
1200,149,154
1200,150,160
1200,151,144
1200,152,129
1200,153,125
1200,154,126
1200,155,120
1200,156,96
1200,157,84
1200,158,93
1200,159,96
1200,160,70
1200,161,78
1200,162,70
1200,163,76
1200,164,59
1200,165,63
1200,166,76
1200,167,52
1200,168,55
1200,169,62
1200,170,61
1200,171,39
1200,172,40
1200,173,34
1200,174,43
1200,175,42
1200,176,37
1200,177,26
1200,178,40
1200,179,26
1200,180,33
1200,181,24
1200,182,28
1200,183,23
1200,184,24
1200,185,16
1200,186,15
1200,187,26
1200,188,19
1200,189,16
1200,190,17
1200,191,15
1200,192,13
1200,193,10
1200,194,16
1200,195,11
1200,196,13
1200,197,11
1200,198,7
1200,199,13
1200,200,9
1200,201,6
1200,202,8
1200,203,9
1200,204,12
1200,205,8
1200,206,8
1200,207,8
1200,208,9
1200,209,11
1200,210,9
1200,211,10
1200,212,4
1200,213,3
1200,214,4
1200,215,2
1200,216,1
1200,217,4
1200,218,5
1200,219,2
1200,220,2
1200,221,1
1200,222,2
1200,223,3
1200,224,2
1200,225,1
1200,226,2
1200,227,3
1200,228,4
1200,229,4
1200,231,2
1200,232,3
1200,233,1
1200,234,4
1200,235,1
1200,236,2
1200,237,2
1200,239,2
1200,240,2
1200,241,2
1200,243,1
1200,244,1
1200,245,2
1200,247,1
1200,249,3
1200,250,2
1200,253,1
1200,254,1
1200,256,1
1200,257,1
1200,260,1
1200,263,1
1200,266,2
1200,268,1
1200,271,1
1200,272,1
1200,275,1
1200,297,1
1400,0,7143
1400,1,4530
1400,2,3147
1400,3,1415
1400,4,869
1400,5,996
1400,6,849
1400,7,1405
1400,8,1011
1400,9,1488
1400,10,1276
1400,11,1838
1400,12,1576
1400,13,2245
1400,14,1849
1400,15,2636
1400,16,2157
1400,17,3236
1400,18,2517
1400,19,3527
1400,20,2921
1400,21,3794
1400,22,3265
1400,23,4262
1400,24,3683
1400,25,4855
1400,26,4160
1400,27,5422
1400,28,4667
1400,29,5927
1400,30,5246
1400,31,6500
1400,32,5603
1400,33,6938
1400,34,6180
1400,35,7519
1400,36,6677
1400,37,8063
1400,38,7164
1400,39,8528
1400,40,7870
1400,41,9131
1400,42,8469
1400,43,9772
1400,44,8926
1400,45,10157
1400,46,9528
1400,47,10505
1400,48,9953
1400,49,10690
1400,50,10535
1400,51,11323
1400,52,10811
1400,53,11435
1400,54,10936
1400,55,11756
1400,56,11003
1400,57,11609
1400,58,11079
1400,59,11588
1400,60,10791
1400,61,11038
1400,62,10654
1400,63,10821
1400,64,10178
1400,65,10092
1400,66,9799
1400,67,9823
1400,68,9357
1400,69,9474
1400,70,8911
1400,71,8793
1400,72,8420
1400,73,8233
1400,74,7832
1400,75,7818
1400,76,7372
1400,77,7208
1400,78,7043
1400,79,6941
1400,80,6468
1400,81,6337
1400,82,6282
1400,83,5921
1400,84,5662
1400,85,5486
1400,86,5423
1400,87,5256
1400,88,5052
1400,89,4905
1400,90,4615
1400,91,4526
1400,92,4433
1400,93,4191
1400,94,4171
1400,95,4032
1400,96,3855
1400,97,3803
1400,98,3591
1400,99,3485
1400,100,3435
1400,101,3269
1400,102,3208
1400,103,3082
1400,104,2878
1400,105,2829
1400,106,2846
1400,107,2745
1400,108,2601
1400,109,2601
1400,110,2455
1400,111,2311
1400,112,2263
1400,113,2216
1400,114,2096
1400,115,2063
1400,116,1986
1400,117,1801
1400,118,1894
1400,119,1700
1400,120,1775
1400,121,1627
1400,122,1507
1400,123,1477
1400,124,1450
1400,125,1338
1400,126,1351
1400,127,1195
1400,128,1173
1400,129,1225
1400,130,1081
1400,131,996
1400,132,1011
1400,133,947
1400,134,933
1400,135,845
1400,136,804
1400,137,803
1400,138,769
1400,139,701
1400,140,710
1400,141,616
1400,142,586
1400,143,599
1400,144,518
1400,145,479
1400,146,555
1400,147,437
1400,148,436
1400,149,434
1400,150,380
1400,151,369
1400,152,331
1400,153,306
1400,154,347
1400,155,255
1400,156,292
1400,157,200
1400,158,236
1400,159,229
1400,160,231
1400,161,207
1400,162,180
1400,163,165
1400,164,162
1400,165,169
1400,166,147
1400,167,134
1400,168,137
1400,169,140
1400,170,89
1400,171,119
1400,172,91
1400,173,118
1400,174,98
1400,175,95
1400,176,55
1400,177,75
1400,178,71
1400,179,65
1400,180,68
1400,181,48
1400,182,49
1400,183,37
1400,184,44
1400,185,50
1400,186,50
1400,187,42
1400,188,31
1400,189,42
1400,190,31
1400,191,26
1400,192,40
1400,193,38
1400,194,45
1400,195,25
1400,196,30
1400,197,24
1400,198,28
1400,199,16
1400,200,33
1400,201,18
1400,202,14
1400,203,16
1400,204,22
1400,205,12
1400,206,15
1400,207,14
1400,208,15
1400,209,18
1400,210,16
1400,211,11
1400,212,6
1400,213,8
1400,214,8
1400,215,10
1400,216,8
1400,217,10
1400,218,5
1400,219,13
1400,220,4
1400,221,4
1400,222,8
1400,223,6
1400,224,5
1400,225,4
1400,226,6
1400,227,11
1400,228,7
1400,229,5
1400,230,2
1400,231,5
1400,232,2
1400,233,2
1400,234,4
1400,235,3
1400,236,3
1400,237,3
1400,238,1
1400,239,4
1400,240,2
1400,241,3
1400,242,2
1400,243,3
1400,244,2
1400,245,3
1400,246,3
1400,248,4
1400,249,4
1400,250,1
1400,251,3
1400,252,1
1400,253,2
1400,255,4
1400,258,1
1400,261,1
1400,262,1
1400,263,1
1400,264,1
1400,269,1
1400,272,2
1400,273,1
1400,275,1
1400,279,3
1400,280,1
1400,285,2
1400,289,1
1400,292,1
1400,295,2
1400,348,1
1400,415,1
1600,0,7170
1600,1,4711
1600,2,2004
1600,3,834
1600,4,561
1600,5,580
1600,6,544
1600,7,839
1600,8,578
1600,9,873
1600,10,771
1600,11,1030
1600,12,883
1600,13,1236
1600,14,1110
1600,15,1575
1600,16,1334
1600,17,1937
1600,18,1488
1600,19,2030
1600,20,1833
1600,21,2382
1600,22,2088
1600,23,2900
1600,24,2439
1600,25,3320
1600,26,2921
1600,27,3852
1600,28,3330
1600,29,4258
1600,30,3831
1600,31,4985
1600,32,4151
1600,33,5500
1600,34,4652
1600,35,5895
1600,36,5296
1600,37,6650
1600,38,5881
1600,39,6941
1600,40,6257
1600,41,7558
1600,42,6886
1600,43,8209
1600,44,7369
1600,45,8623
1600,46,7899
1600,47,9209
1600,48,8488
1600,49,9612
1600,50,9046
1600,51,10246
1600,52,9623
1600,53,10326
1600,54,9712
1600,55,10748
1600,56,10093
1600,57,10734
1600,58,10302
1600,59,10781
1600,60,10530
1600,61,10884
1600,62,10462
1600,63,10710
1600,64,10368
1600,65,10840
1600,66,10033
1600,67,10074
1600,68,10023
1600,69,9916
1600,70,9506
1600,71,9667
1600,72,9380
1600,73,9128
1600,74,8985
1600,75,8837
1600,76,8437
1600,77,8437
1600,78,8006
1600,79,7845
1600,80,7690
1600,81,7480
1600,82,7380
1600,83,7189
1600,84,6889
1600,85,6755
1600,86,6493
1600,87,6419
1600,88,6156
1600,89,6000
1600,90,5844
1600,91,5601
1600,92,5473
1600,93,5319
1600,94,5230
1600,95,5091
1600,96,4808
1600,97,4796
1600,98,4612
1600,99,4330
1600,100,4307
1600,101,4145
1600,102,4084
1600,103,3763
1600,104,3713
