piece,COUNT(*),avgrating
bishop,3139,800
bishop,55677,1000
bishop,251890,1200
bishop,485851,1400
bishop,434622,1600
bishop,207552,1800
bishop,59794,2000
bishop,12293,2200
bishop,967,2400
bishop,61,2600
king,45,800
king,820,1000
king,3687,1200
king,7045,1400
king,6249,1600
king,3291,1800
king,1065,2000
king,229,2200
king,13,2400
king,2,2600
knight,2898,800
knight,52950,1000
knight,250171,1200
knight,502703,1400
knight,476838,1600
knight,239685,1800
knight,71897,2000
knight,15472,2200
knight,1309,2400
knight,94,2600
pawn,931,800
pawn,18111,1000
pawn,96249,1200
pawn,223246,1400
pawn,243904,1600
pawn,132646,1800
pawn,43041,2000
pawn,9184,2200
pawn,751,2400
pawn,52,2600
queen,7825,800
queen,141204,1000
queen,653563,1200
queen,1260555,1400
queen,1151326,1600
queen,560394,1800
queen,168896,2000
queen,34725,2200
queen,2640,2400
queen,211,2600
rook,3810,800
rook,78437,1000
rook,423818,1200
rook,926996,1400
rook,928731,1600
rook,483327,1800
rook,154082,2000
rook,34006,2200
rook,2782,2400
rook,266,2600
