piece,avgrating,avg(distance)
bishop,800,2.054091971940764
bishop,1000,2.0380387071219506
bishop,1200,1.9678543161304867
bishop,1400,1.9070140095378796
bishop,1600,1.8622697981884702
bishop,1800,1.8347641640300607
bishop,2000,1.8143235588289917
bishop,2200,1.7942374230686793
bishop,2400,1.7835174953959485
bishop,2600,1.7524649714582252
king,800,1.1271897810218978
king,1000,1.156696204493358
king,1200,1.1777184444794597
king,1400,1.1888586526094367
king,1600,1.187995217225847
king,1800,1.1804777430624729
king,2000,1.1675282583116655
king,2200,1.1626159546755848
king,2400,1.1579825137716682
king,2600,1.1807617817947063
knight,800,2.0
knight,1000,2.0
knight,1200,2.0
knight,1400,2.0
knight,1600,2.0
knight,1800,2.0
knight,2000,2.0
knight,2200,2.0
knight,2400,2.0
knight,2600,2.0
pawn,800,1.2858698881077335
pawn,1000,1.283637961837479
pawn,1200,1.2731875595944941
pawn,1400,1.2655593471447395
pawn,1600,1.2615669620691758
pawn,1800,1.26009157525628
pawn,2000,1.2548838734531902
pawn,2200,1.248702795452626
pawn,2400,1.240450502080582
pawn,2600,1.238166566806471
queen,800,2.0908336789713813
queen,1000,2.0882380204055675
queen,1200,2.0495227778546905
queen,1400,1.9981096164461756
queen,1600,1.9499932171938128
queen,1800,1.9253369654015962
queen,2000,1.9121660159766765
queen,2200,1.8969277347627556
queen,2400,1.86997621516131
queen,2600,1.8448637316561844
rook,800,2.542470336103706
rook,1000,2.5835151859380603
rook,1200,2.5713548087287093
rook,1400,2.5660449829961856
rook,1600,2.5569952320854066
rook,1800,2.53389430223001
rook,2000,2.4964583982716553
rook,2200,2.4552539796263497
rook,2400,2.391089943521875
rook,2600,2.347476552032157
