fromsquarerank,fromsquarefile,piece,COUNT(*),turn
0,0,bishop,16381,Black
0,0,bishop,11442,White
0,0,king,5455,Black
0,0,king,21343,White
0,0,knight,11396,Black
0,0,knight,2811,White
0,0,queen,67581,Black
0,0,queen,24945,White
0,0,rook,65597,Black
0,0,rook,1515652,White
0,1,bishop,9965,Black
0,1,bishop,28642,White
0,1,king,9968,Black
0,1,king,105903,White
0,1,knight,4516,Black
0,1,knight,1174418,White
0,1,queen,44897,Black
0,1,queen,36973,White
0,1,rook,52796,Black
0,1,rook,325222,White
0,2,bishop,11417,Black
0,2,bishop,1727546,White
0,2,king,8497,Black
0,2,king,274202,White
0,2,knight,10291,Black
0,2,knight,22448,White
0,2,queen,53620,Black
0,2,queen,75464,White
0,2,rook,59002,Black
0,2,rook,478501,White
0,3,bishop,11968,Black
0,3,bishop,43259,White
0,3,king,7224,Black
0,3,king,142067,White
0,3,knight,11334,Black
0,3,knight,38449,White
0,3,queen,50087,Black
0,3,queen,1955203,White
0,3,rook,68034,Black
0,3,rook,872214,White
0,4,bishop,10501,Black
0,4,bishop,33114,White
0,4,king,7035,Black
0,4,king,2053505,White
0,4,knight,9821,Black
0,4,knight,45796,White
0,4,queen,51359,Black
0,4,queen,98406,White
0,4,rook,60098,Black
0,4,rook,818213,White
0,5,bishop,10507,Black
0,5,bishop,1262886,White
0,5,king,7279,Black
0,5,king,284464,White
0,5,knight,8248,Black
0,5,knight,53538,White
0,5,queen,36377,Black
0,5,queen,45619,White
0,5,rook,39133,Black
0,5,rook,1504484,White
0,6,bishop,6559,Black
0,6,bishop,7339,White
0,6,king,8003,Black
0,6,king,1146490,White
0,6,knight,2988,Black
0,6,knight,726756,White
0,6,queen,32737,Black
0,6,queen,12201,White
0,6,rook,33564,Black
0,6,rook,187698,White
0,7,bishop,9355,Black
0,7,bishop,7051,White
0,7,king,4426,Black
0,7,king,197705,White
0,7,knight,5962,Black
0,7,knight,3537,White
0,7,queen,51451,Black
0,7,queen,8473,White
0,7,rook,42702,Black
0,7,rook,498836,White
1,0,bishop,21854,Black
1,0,bishop,40418,White
1,0,king,15876,Black
1,0,king,35018,White
1,0,knight,18640,Black
1,0,knight,14921,White
1,0,pawn,32544,Black
1,0,pawn,1035274,White
1,0,queen,67128,Black
1,0,queen,19677,White
1,0,rook,137528,Black
1,0,rook,49833,White
1,1,bishop,58795,Black
1,1,bishop,240687,White
1,1,king,29130,Black
1,1,king,93240,White
1,1,knight,31554,Black
1,1,knight,14916,White
1,1,pawn,25049,Black
1,1,pawn,1126954,White
1,1,queen,119068,Black
1,1,queen,53374,White
1,1,rook,140839,Black
1,1,rook,52695,White
1,2,bishop,36656,Black
1,2,bishop,103400,White
1,2,king,27318,Black
1,2,king,161265,White
1,2,knight,73192,Black
1,2,knight,47907,White
1,2,pawn,23051,Black
1,2,pawn,871651,White
1,2,queen,76535,Black
1,2,queen,330989,White
1,2,rook,141255,Black
1,2,rook,86943,White
1,3,bishop,21961,Black
1,3,bishop,344797,White
1,3,king,22542,Black
1,3,king,260051,White
1,3,knight,40665,Black
1,3,knight,631473,White
1,3,pawn,20880,Black
1,3,pawn,486286,White
1,3,queen,58909,Black
1,3,queen,413874,White
1,3,rook,130930,Black
1,3,rook,137085,White
1,4,bishop,27326,Black
1,4,bishop,511913,White
1,4,king,21992,Black
1,4,king,345728,White
1,4,knight,47841,Black
1,4,knight,395042,White
1,4,pawn,18305,Black
1,4,pawn,336412,White
1,4,queen,53305,Black
1,4,queen,480623,White
1,4,rook,109842,Black
1,4,rook,135330,White
1,5,bishop,33555,Black
1,5,bishop,53273,White
1,5,king,22307,Black
1,5,king,404465,White
1,5,knight,50149,Black
1,5,knight,36542,White
1,5,pawn,17713,Black
1,5,pawn,1056552,White
1,5,queen,72255,Black
1,5,queen,96315,White
1,5,rook,95571,Black
1,5,rook,119374,White
1,6,bishop,30026,Black
1,6,bishop,258314,White
1,6,king,22178,Black
1,6,king,390884,White
1,6,knight,17059,Black
1,6,knight,17568,White
1,6,pawn,19088,Black
1,6,pawn,996383,White
1,6,queen,49165,Black
1,6,queen,45805,White
1,6,rook,79583,Black
1,6,rook,47476,White
1,7,bishop,22070,Black
1,7,bishop,22707,White
1,7,king,13155,Black
1,7,king,230096,White
1,7,knight,11318,Black
1,7,knight,59904,White
1,7,pawn,23215,Black
1,7,pawn,1167816,White
1,7,queen,45715,Black
1,7,queen,17064,White
1,7,rook,75626,Black
1,7,rook,34543,White
2,0,bishop,35062,Black
2,0,bishop,79900,White
2,0,king,23742,Black
2,0,king,32945,White
2,0,knight,17074,Black
2,0,knight,87758,White
2,0,pawn,59492,Black
2,0,pawn,268638,White
2,0,queen,57714,Black
2,0,queen,35260,White
2,0,rook,93718,Black
2,0,rook,44890,White
2,1,bishop,25638,Black
2,1,bishop,167991,White
2,1,king,43710,Black
2,1,king,87297,White
2,1,knight,35006,Black
2,1,knight,127260,White
2,1,pawn,47794,Black
2,1,pawn,251235,White
2,1,queen,40928,Black
2,1,queen,235467,White
2,1,rook,79805,Black
2,1,rook,52131,White
2,2,bishop,64125,Black
2,2,bishop,123658,White
2,2,king,49943,Black
2,2,king,132229,White
2,2,knight,81039,Black
2,2,knight,1248085,White
2,2,pawn,53761,Black
2,2,pawn,477219,White
2,2,queen,95480,Black
2,2,queen,137636,White
2,2,rook,100186,Black
2,2,rook,68705,White
2,3,bishop,54952,Black
2,3,bishop,575389,White
2,3,king,49285,Black
2,3,king,204175,White
2,3,knight,105527,Black
2,3,knight,82188,White
2,3,pawn,53598,Black
2,3,pawn,344672,White
2,3,queen,70540,Black
2,3,queen,340645,White
2,3,rook,96582,Black
2,3,rook,106503,White
2,4,bishop,45838,Black
2,4,bishop,535070,White
2,4,king,45845,Black
2,4,king,259187,White
2,4,knight,88240,Black
2,4,knight,102649,White
2,4,pawn,47821,Black
2,4,pawn,358090,White
2,4,queen,87545,Black
2,4,queen,211426,White
2,4,rook,78342,Black
2,4,rook,123146,White
2,5,bishop,45585,Black
2,5,bishop,200060,White
2,5,king,47116,Black
2,5,king,278080,White
2,5,knight,58033,Black
2,5,knight,1622102,White
2,5,pawn,40010,Black
2,5,pawn,314141,White
2,5,queen,70181,Black
2,5,queen,438530,White
2,5,rook,69672,Black
2,5,rook,128804,White
2,6,bishop,27889,Black
2,6,bishop,116735,White
2,6,king,42807,Black
2,6,king,239308,White
2,6,knight,42261,Black
2,6,knight,157468,White
2,6,pawn,38381,Black
2,6,pawn,289192,White
2,6,queen,64399,Black
2,6,queen,164276,White
2,6,rook,53216,Black
2,6,rook,71174,White
2,7,bishop,66781,Black
2,7,bishop,50383,White
2,7,king,24655,Black
2,7,king,109965,White
2,7,knight,22902,Black
2,7,knight,66671,White
2,7,pawn,46145,Black
2,7,pawn,323101,White
2,7,queen,71679,Black
2,7,queen,67263,White
2,7,rook,60510,Black
2,7,rook,51344,White
3,0,bishop,31017,Black
3,0,bishop,78024,White
3,0,king,28619,Black
3,0,king,29571,White
3,0,knight,30647,Black
3,0,knight,101962,White
3,0,pawn,128778,Black
3,0,pawn,299735,White
3,0,queen,49118,Black
3,0,queen,143227,White
3,0,rook,72432,Black
3,0,rook,50433,White
3,1,bishop,326194,Black
3,1,bishop,56692,White
3,1,king,60255,Black
3,1,king,66038,White
3,1,knight,188524,Black
3,1,knight,34596,White
3,1,pawn,133923,Black
3,1,pawn,317105,White
3,1,queen,99832,Black
3,1,queen,67619,White
3,1,rook,69744,Black
3,1,rook,48024,White
3,2,bishop,69055,Black
3,2,bishop,580890,White
3,2,king,74546,Black
3,2,king,95611,White
3,2,knight,134218,Black
3,2,knight,175934,White
3,2,pawn,123500,Black
3,2,pawn,493805,White
3,2,queen,78016,Black
3,2,queen,137443,White
3,2,rook,90500,Black
3,2,rook,60696,White
3,3,bishop,125827,Black
3,3,bishop,126894,White
3,3,king,79266,Black
3,3,king,121256,White
3,3,knight,246110,Black
3,3,knight,369546,White
3,3,pawn,175727,Black
3,3,pawn,733409,White
3,3,queen,159182,Black
3,3,queen,202755,White
3,3,rook,96462,Black
3,3,rook,88143,White
3,4,bishop,114917,Black
3,4,bishop,145586,White
3,4,king,84195,Black
3,4,king,144159,White
3,4,knight,328031,Black
3,4,knight,360521,White
3,4,pawn,168526,Black
3,4,pawn,770264,White
3,4,queen,125468,Black
3,4,queen,182488,White
3,4,rook,92916,Black
3,4,rook,99792,White
3,5,bishop,62169,Black
3,5,bishop,406773,White
3,5,king,85365,Black
3,5,king,150918,White
3,5,knight,135938,Black
3,5,knight,149254,White
3,5,pawn,114412,Black
3,5,pawn,451359,White
3,5,queen,109771,Black
3,5,queen,140112,White
3,5,rook,78321,Black
3,5,rook,82519,White
3,6,bishop,461385,Black
3,6,bishop,68789,White
3,6,king,75889,Black
3,6,king,130079,White
3,6,knight,225690,Black
3,6,knight,74145,White
3,6,pawn,102544,Black
3,6,pawn,323145,White
3,6,queen,95339,Black
3,6,queen,194632,White
3,6,rook,55206,Black
3,6,rook,51687,White
3,7,bishop,57428,Black
3,7,bishop,124378,White
3,7,king,39886,Black
3,7,king,65740,White
3,7,knight,39430,Black
3,7,knight,123289,White
3,7,pawn,120615,Black
3,7,pawn,330427,White
3,7,queen,157746,Black
3,7,queen,88690,White
3,7,rook,55508,Black
3,7,rook,46447,White
4,0,bishop,53195,Black
4,0,bishop,29463,White
4,0,king,32746,Black
4,0,king,26669,White
4,0,knight,120411,Black
4,0,knight,30352,White
4,0,pawn,302427,Black
4,0,pawn,122995,White
4,0,queen,199225,Black
4,0,queen,46949,White
4,0,rook,51930,Black
4,0,rook,69142,White
4,1,bishop,66180,Black
4,1,bishop,337949,White
4,1,king,71053,Black
4,1,king,56188,White
4,1,knight,34466,Black
4,1,knight,212373,White
4,1,pawn,366591,Black
4,1,pawn,122795,White
4,1,queen,68556,Black
4,1,queen,96116,White
4,1,rook,48051,Black
4,1,rook,65242,White
4,2,bishop,355467,Black
4,2,bishop,75087,White
4,2,king,102745,Black
4,2,king,70297,White
4,2,knight,191241,Black
4,2,knight,122205,White
4,2,pawn,503360,Black
4,2,pawn,124523,White
4,2,queen,140996,Black
4,2,queen,73788,White
4,2,rook,64685,Black
4,2,rook,79425,White
4,3,bishop,113344,Black
4,3,bishop,131402,White
4,3,king,122658,Black
4,3,king,74085,White
4,3,knight,329389,Black
4,3,knight,255181,White
4,3,pawn,562415,Black
4,3,pawn,225408,White
4,3,queen,180167,Black
4,3,queen,154063,White
4,3,rook,87478,Black
4,3,rook,95102,White
4,4,bishop,145430,Black
4,4,bishop,116786,White
4,4,king,144151,Black
4,4,king,82559,White
4,4,knight,357310,Black
4,4,knight,382899,White
4,4,pawn,522842,Black
4,4,pawn,293347,White
4,4,queen,183300,Black
4,4,queen,128038,White
4,4,rook,91037,Black
4,4,rook,104528,White
4,5,bishop,311836,Black
4,5,bishop,59872,White
4,5,king,149028,Black
4,5,king,83375,White
4,5,knight,179353,Black
4,5,knight,129192,White
4,5,pawn,340428,Black
4,5,pawn,143197,White
4,5,queen,122863,Black
4,5,queen,103144,White
4,5,rook,81374,Black
4,5,rook,72875,White
4,6,bishop,89735,Black
