fromsquarerank,fromsquarefile,piece,COUNT(*),turn,avgrating
0,0,bishop,47,Black,800
0,0,bishop,686,Black,1000
0,0,bishop,3138,Black,1200
0,0,bishop,5638,Black,1400
0,0,bishop,4326,Black,1600
0,0,bishop,1959,Black,1800
0,0,bishop,585,Black,2000
0,0,bishop,106,Black,2200
0,0,bishop,10,Black,2400
0,0,bishop,2,Black,2600
0,0,bishop,13,White,800
0,0,bishop,155,White,1000
0,0,bishop,1119,White,1200
0,0,bishop,3145,White,1400
0,0,bishop,3866,White,1600
0,0,bishop,2133,White,1800
0,0,bishop,757,White,2000
0,0,bishop,217,White,2200
0,0,bishop,33,White,2400
0,0,bishop,4,White,2600
0,0,king,11,Black,800
0,0,king,120,Black,1000
0,0,king,761,Black,1200
0,0,king,1480,Black,1400
0,0,king,1697,Black,1600
0,0,king,923,Black,1800
0,0,king,365,Black,2000
0,0,king,90,Black,2200
0,0,king,7,Black,2400
0,0,king,1,Black,2600
0,0,king,15,White,800
0,0,king,446,White,1000
0,0,king,2736,White,1200
0,0,king,6416,White,1400
0,0,king,6415,White,1600
0,0,king,3721,White,1800
0,0,king,1250,White,2000
0,0,king,314,White,2200
0,0,king,27,White,2400
0,0,king,3,White,2600
0,0,knight,51,Black,800
0,0,knight,804,Black,1000
0,0,knight,2844,Black,1200
0,0,knight,3926,Black,1400
0,0,knight,2416,Black,1600
0,0,knight,1019,Black,1800
0,0,knight,279,Black,2000
0,0,knight,54,Black,2200
0,0,knight,3,Black,2400
0,0,knight,3,White,800
0,0,knight,48,White,1000
0,0,knight,265,White,1200
0,0,knight,762,White,1400
0,0,knight,998,White,1600
0,0,knight,522,White,1800
0,0,knight,176,White,2000
0,0,knight,36,White,2200
0,0,knight,1,White,2400
0,0,queen,185,Black,800
0,0,queen,2735,Black,1000
0,0,queen,11372,Black,1200
0,0,queen,21104,Black,1400
0,0,queen,18939,Black,1600
0,0,queen,9424,Black,1800
0,0,queen,3150,Black,2000
0,0,queen,666,Black,2200
0,0,queen,31,Black,2400
0,0,queen,4,Black,2600
0,0,queen,41,White,800
0,0,queen,645,White,1000
0,0,queen,3432,White,1200
0,0,queen,7703,White,1400
0,0,queen,7391,White,1600
0,0,queen,4051,White,1800
0,0,queen,1317,White,2000
0,0,queen,317,White,2200
0,0,queen,43,White,2400
0,0,queen,5,White,2600
0,0,rook,82,Black,800
0,0,rook,1473,Black,1000
0,0,rook,8558,Black,1200
0,0,rook,19091,Black,1400
0,0,rook,20371,Black,1600
0,0,rook,11289,Black,1800
0,0,rook,3771,Black,2000
0,0,rook,884,Black,2200
0,0,rook,73,Black,2400
0,0,rook,7,Black,2600
0,0,rook,1471,White,800
0,0,rook,30067,White,1000
0,0,rook,180967,White,1200
0,0,rook,449475,White,1400
0,0,rook,493240,White,1600
0,0,rook,262356,White,1800
0,0,rook,81673,White,2000
0,0,rook,17889,White,2200
0,0,rook,1487,White,2400
0,0,rook,132,White,2600
0,1,bishop,8,Black,800
0,1,bishop,228,Black,1000
0,1,bishop,1145,Black,1200
0,1,bishop,2795,Black,1400
0,1,bishop,3156,Black,1600
0,1,bishop,1885,Black,1800
0,1,bishop,651,Black,2000
0,1,bishop,112,Black,2200
0,1,bishop,7,Black,2400
0,1,bishop,4,Black,2600
0,1,bishop,9,White,800
0,1,bishop,105,White,1000
0,1,bishop,1524,White,1200
0,1,bishop,6734,White,1400
0,1,bishop,10439,White,1600
0,1,bishop,6855,White,1800
0,1,bishop,2376,White,2000
0,1,bishop,562,White,2200
0,1,bishop,36,White,2400
0,1,bishop,2,White,2600
0,1,king,17,Black,800
0,1,king,233,Black,1000
0,1,king,1433,Black,1200
0,1,king,2892,Black,1400
0,1,king,2933,Black,1600
0,1,king,1665,Black,1800
0,1,king,659,Black,2000
0,1,king,127,Black,2200
0,1,king,9,Black,2400
0,1,king,108,White,800
0,1,king,1975,White,1000
0,1,king,12574,White,1200
0,1,king,30883,White,1400
0,1,king,33490,White,1600
0,1,king,18835,White,1800
0,1,king,6457,White,2000
0,1,king,1452,White,2200
0,1,king,124,White,2400
0,1,king,5,White,2600
0,1,knight,4,Black,800
0,1,knight,116,Black,1000
0,1,knight,582,Black,1200
0,1,knight,1295,Black,1400
0,1,knight,1436,Black,1600
0,1,knight,792,Black,1800
0,1,knight,236,Black,2000
0,1,knight,51,Black,2200
0,1,knight,2,Black,2400
0,1,knight,2,Black,2600
0,1,knight,2730,White,800
0,1,knight,55134,White,1000
0,1,knight,297759,White,1200
0,1,knight,675497,White,1400
0,1,knight,681871,White,1600
0,1,knight,347480,White,1800
0,1,knight,104987,White,2000
0,1,knight,22185,White,2200
0,1,knight,1825,White,2400
0,1,knight,158,White,2600
0,1,queen,97,Black,800
0,1,queen,1497,Black,1000
0,1,queen,6224,Black,1200
0,1,queen,13165,Black,1400
0,1,queen,13445,Black,1600
0,1,queen,7408,Black,1800
0,1,queen,2433,Black,2000
0,1,queen,584,Black,2200
0,1,queen,41,Black,2400
0,1,queen,5,Black,2600
0,1,queen,52,White,800
0,1,queen,695,White,1000
0,1,queen,4115,White,1200
0,1,queen,10334,White,1400
0,1,queen,11977,White,1600
0,1,queen,6899,White,1800
0,1,queen,2287,White,2000
0,1,queen,561,White,2200
0,1,queen,50,White,2400
0,1,queen,4,White,2600
0,1,rook,46,Black,800
0,1,rook,1064,Black,1000
0,1,rook,6250,Black,1200
0,1,rook,15040,Black,1400
0,1,rook,16718,Black,1600
0,1,rook,9511,Black,1800
0,1,rook,3326,Black,2000
0,1,rook,764,Black,2200
0,1,rook,68,Black,2400
0,1,rook,9,Black,2600
0,1,rook,324,White,800
0,1,rook,6488,White,1000
0,1,rook,39424,White,1200
0,1,rook,96901,White,1400
0,1,rook,103929,White,1600
0,1,rook,55318,White,1800
0,1,rook,18302,White,2000
0,1,rook,4182,White,2200
0,1,rook,342,White,2400
0,1,rook,27,White,2600
0,2,bishop,9,Black,800
0,2,bishop,264,Black,1000
0,2,bishop,1222,Black,1200
0,2,bishop,3036,Black,1400
0,2,bishop,3819,Black,1600
0,2,bishop,2191,Black,1800
0,2,bishop,697,Black,2000
0,2,bishop,172,Black,2200
0,2,bishop,12,Black,2400
0,2,bishop,1,Black,2600
0,2,bishop,2575,White,800
0,2,bishop,52434,White,1000
0,2,bishop,289508,White,1200
0,2,bishop,666194,White,1400
0,2,bishop,676739,White,1600
0,2,bishop,345521,White,1800
0,2,bishop,104704,White,2000
0,2,bishop,22215,White,2200
0,2,bishop,1831,White,2400
0,2,bishop,158,White,2600
0,2,king,13,Black,800
0,2,king,192,Black,1000
0,2,king,1178,Black,1200
0,2,king,2540,Black,1400
0,2,king,2546,Black,1600
0,2,king,1339,Black,1800
0,2,king,572,Black,2000
0,2,king,104,Black,2200
0,2,king,12,Black,2400
0,2,king,1,Black,2600
0,2,king,336,White,800
0,2,king,6196,White,1000
0,2,king,36387,White,1200
0,2,king,83733,White,1400
0,2,king,85392,White,1600
0,2,king,44624,White,1800
0,2,king,14167,White,2000
0,2,king,3099,White,2200
0,2,king,257,White,2400
0,2,king,11,White,2600
0,2,knight,17,Black,800
0,2,knight,267,Black,1000
0,2,knight,1397,Black,1200
0,2,knight,2981,Black,1400
0,2,knight,3208,Black,1600
0,2,knight,1788,Black,1800
0,2,knight,504,Black,2000
0,2,knight,120,Black,2200
0,2,knight,8,Black,2400
0,2,knight,1,Black,2600
0,2,knight,22,White,800
0,2,knight,265,White,1000
0,2,knight,1946,White,1200
0,2,knight,5764,White,1400
0,2,knight,7556,White,1600
0,2,knight,4732,White,1800
0,2,knight,1734,White,2000
0,2,knight,395,White,2200
0,2,knight,30,White,2400
0,2,knight,4,White,2600
0,2,queen,93,Black,800
0,2,queen,1581,Black,1000
0,2,queen,7611,Black,1200
0,2,queen,15761,Black,1400
0,2,queen,16336,Black,1600
0,2,queen,8749,Black,1800
0,2,queen,2854,Black,2000
0,2,queen,585,Black,2200
0,2,queen,54,Black,2400
0,2,queen,6,Black,2600
0,2,queen,70,White,800
0,2,queen,1209,White,1000
0,2,queen,7521,White,1200
0,2,queen,21062,White,1400
0,2,queen,25702,White,1600
0,2,queen,14163,White,1800
0,2,queen,4646,White,2000
0,2,queen,1030,White,2200
0,2,queen,81,White,2400
0,2,queen,8,White,2600
0,2,rook,49,Black,800
0,2,rook,1193,Black,1000
0,2,rook,6673,Black,1200
0,2,rook,16436,Black,1400
0,2,rook,18941,Black,1600
0,2,rook,10911,Black,1800
0,2,rook,3841,Black,2000
0,2,rook,882,Black,2200
0,2,rook,70,Black,2400
0,2,rook,6,Black,2600
0,2,rook,347,White,800
0,2,rook,7064,White,1000
0,2,rook,46138,White,1200
0,2,rook,128256,White,1400
0,2,rook,161262,White,1600
0,2,rook,95440,White,1800
0,2,rook,31631,White,2000
0,2,rook,7589,White,2200
0,2,rook,690,White,2400
0,2,rook,84,White,2600
0,3,bishop,19,Black,800
0,3,bishop,289,Black,1000
0,3,bishop,1497,Black,1200
0,3,bishop,3441,Black,1400
0,3,bishop,3791,Black,1600
0,3,bishop,2172,Black,1800
0,3,bishop,670,Black,2000
0,3,bishop,127,Black,2200
0,3,bishop,9,Black,2400
0,3,bishop,35,White,800
0,3,bishop,629,White,1000
0,3,bishop,4092,White,1200
0,3,bishop,11867,White,1400
0,3,bishop,14667,White,1600
0,3,bishop,8465,White,1800
0,3,bishop,2821,White,2000
0,3,bishop,627,White,2200
0,3,bishop,53,White,2400
0,3,bishop,3,White,2600
0,3,king,3,Black,800
0,3,king,203,Black,1000
0,3,king,971,Black,1200
0,3,king,2126,Black,1400
0,3,king,2176,Black,1600
0,3,king,1172,Black,1800
0,3,king,437,Black,2000
0,3,king,119,Black,2200
0,3,king,16,Black,2400
0,3,king,1,Black,2600
0,3,king,387,White,800
0,3,king,6283,White,1000
0,3,king,25538,White,1200
0,3,king,45117,White,1400
0,3,king,38832,White,1600
0,3,king,18904,White,1800
0,3,king,5727,White,2000
0,3,king,1245,White,2200
0,3,king,96,White,2400
0,3,king,5,White,2600
0,3,knight,18,Black,800
0,3,knight,344,Black,1000
0,3,knight,1483,Black,1200
0,3,knight,3366,Black,1400
0,3,knight,3561,Black,1600
0,3,knight,1861,Black,1800
0,3,knight,569,Black,2000
0,3,knight,121,Black,2200
0,3,knight,13,Black,2400
0,3,knight,35,White,800
0,3,knight,614,White,1000
0,3,knight,4007,White,1200
0,3,knight,10172,White,1400
0,3,knight,12494,White,1600
0,3,knight,7784,White,1800
0,3,knight,2691,White,2000
0,3,knight,628,White,2200
0,3,knight,56,White,2400
0,3,knight,2,White,2600
0,3,queen,92,Black,800
0,3,queen,1423,Black,1000
0,3,queen,6606,Black,1200
0,3,queen,14829,Black,1400
0,3,queen,15388,Black,1600
0,3,queen,8288,Black,1800
0,3,queen,2753,Black,2000
0,3,queen,661,Black,2200
0,3,queen,42,Black,2400
0,3,queen,6,Black,2600
0,3,queen,2890,White,800
0,3,queen,57204,White,1000
0,3,queen,304673,White,1200
0,3,queen,683021,White,1400
0,3,queen,684459,White,1600
0,3,queen,347204,White,1800
0,3,queen,104473,White,2000
0,3,queen,22154,White,2200
0,3,queen,1822,White,2400
0,3,queen,149,White,2600
0,3,rook,76,Black,800
0,3,rook,1477,Black,1000
0,3,rook,8407,Black,1200
0,3,rook,19564,Black,1400
0,3,rook,21415,Black,1600
0,3,rook,11932,Black,1800
0,3,rook,4171,Black,2000
0,3,rook,904,Black,2200
0,3,rook,78,Black,2400
0,3,rook,10,Black,2600
0,3,rook,777,White,800
0,3,rook,16280,White,1000
0,3,rook,101232,White,1200
0,3,rook,249960,White,1400
0,3,rook,280278,White,1600
0,3,rook,158474,White,1800
0,3,rook,52138,White,2000
0,3,rook,11904,White,2200
0,3,rook,1074,White,2400
0,3,rook,97,White,2600
0,4,bishop,13,Black,800
