fromsquarerank,fromsquarefile,piece,COUNT(*)
0,0,bishop,27823
0,0,king,26798
0,0,knight,14207
0,0,queen,92526
0,0,rook,1581249
0,1,bishop,38607
0,1,king,115871
0,1,knight,1178934
0,1,queen,81870
0,1,rook,378018
0,2,bishop,1738963
0,2,king,282699
0,2,knight,32739
0,2,queen,129084
0,2,rook,537503
0,3,bishop,55227
0,3,king,149291
0,3,knight,49783
0,3,queen,2005290
0,3,rook,940248
0,4,bishop,43615
0,4,king,2060540
0,4,knight,55617
0,4,queen,149765
0,4,rook,878311
0,5,bishop,1273393
0,5,king,291743
0,5,knight,61786
0,5,queen,81996
0,5,rook,1543617
0,6,bishop,13898
0,6,king,1154493
0,6,knight,729744
0,6,queen,44938
0,6,rook,221262
0,7,bishop,16406
0,7,king,202131
0,7,knight,9499
0,7,queen,59924
0,7,rook,541538
1,0,bishop,62272
1,0,king,50894
1,0,knight,33561
1,0,pawn,1067818
1,0,queen,86805
1,0,rook,187361
1,1,bishop,299482
1,1,king,122370
1,1,knight,46470
1,1,pawn,1152003
1,1,queen,172442
1,1,rook,193534
1,2,bishop,140056
1,2,king,188583
1,2,knight,121099
1,2,pawn,894702
1,2,queen,407524
1,2,rook,228198
1,3,bishop,366758
1,3,king,282593
1,3,knight,672138
1,3,pawn,507166
1,3,queen,472783
1,3,rook,268015
1,4,bishop,539239
1,4,king,367720
1,4,knight,442883
1,4,pawn,354717
1,4,queen,533928
1,4,rook,245172
1,5,bishop,86828
1,5,king,426772
1,5,knight,86691
1,5,pawn,1074265
1,5,queen,168570
1,5,rook,214945
1,6,bishop,288340
1,6,king,413062
1,6,knight,34627
1,6,pawn,1015471
1,6,queen,94970
1,6,rook,127059
1,7,bishop,44777
1,7,king,243251
1,7,knight,71222
1,7,pawn,1191031
1,7,queen,62779
1,7,rook,110169
2,0,bishop,114962
2,0,king,56687
2,0,knight,104832
2,0,pawn,328130
2,0,queen,92974
2,0,rook,138608
2,1,bishop,193629
2,1,king,131007
2,1,knight,162266
2,1,pawn,299029
2,1,queen,276395
2,1,rook,131936
2,2,bishop,187783
2,2,king,182172
2,2,knight,1329124
2,2,pawn,530980
2,2,queen,233116
2,2,rook,168891
2,3,bishop,630341
2,3,king,253460
2,3,knight,187715
2,3,pawn,398270
2,3,queen,411185
2,3,rook,203085
2,4,bishop,580908
2,4,king,305032
2,4,knight,190889
2,4,pawn,405911
2,4,queen,298971
2,4,rook,201488
2,5,bishop,245645
2,5,king,325196
2,5,knight,1680135
2,5,pawn,354151
2,5,queen,508711
2,5,rook,198476
2,6,bishop,144624
2,6,king,282115
2,6,knight,199729
2,6,pawn,327573
