piece,capturedpiece,COUNT(*)
bishop,bishop,1605809
bishop,knight,2191911
bishop,pawn,2018013
bishop,queen,293310
bishop,rook,545685
king,bishop,361166
king,knight,212866
king,pawn,679929
king,queen,194764
king,rook,344521
knight,bishop,1211093
knight,knight,1620603
knight,pawn,2493005
knight,queen,313066
knight,rook,456142
pawn,bishop,1299944
pawn,knight,1235841
pawn,pawn,6660016
pawn,queen,242661
pawn,rook,240253
queen,bishop,977699
queen,knight,859400
queen,pawn,2287136
queen,queen,1051761
queen,rook,604800
rook,bishop,712176
rook,knight,597604
rook,pawn,2101557
rook,queen,475108
rook,rook,1813004
