piece,capturedpiece,COUNT(*),avgrating
bishop,bishop,1501,800
bishop,bishop,34844,1000
bishop,bishop,208349,1200
bishop,bishop,490568,1400
bishop,bishop,508390,1600
bishop,bishop,262878,1800
bishop,bishop,80608,2000
bishop,bishop,17025,2200
bishop,bishop,1512,2400
bishop,bishop,134,2600
bishop,knight,2034,800
bishop,knight,50077,1000
bishop,knight,299332,1200
bishop,knight,684235,1400
bishop,knight,687232,1600
bishop,knight,343332,1800
bishop,knight,102277,2000
bishop,knight,21535,2200
bishop,knight,1689,2400
bishop,knight,168,2600
bishop,pawn,2779,800
bishop,pawn,54152,1000
bishop,pawn,293003,1200
bishop,pawn,641586,1400
bishop,pawn,612802,1600
bishop,pawn,302686,1800
bishop,pawn,89932,2000
bishop,pawn,19328,2200
bishop,pawn,1609,2400
bishop,pawn,136,2600
bishop,queen,591,800
bishop,queen,10444,1000
bishop,queen,46195,1200
bishop,queen,91625,1400
bishop,queen,85721,1600
bishop,queen,43121,1800
bishop,queen,12723,2000
bishop,queen,2655,2200
bishop,queen,218,2400
bishop,queen,17,2600
bishop,rook,934,800
bishop,rook,16043,1000
bishop,rook,78996,1200
bishop,rook,166737,1400
bishop,rook,162873,1600
bishop,rook,86637,1800
bishop,rook,26963,2000
bishop,rook,5947,2200
bishop,rook,515,2400
bishop,rook,40,2600
king,bishop,497,800
king,bishop,9116,1000
king,bishop,47576,1200
king,bishop,106961,1400
king,bishop,112645,1600
king,bishop,60541,1800
king,bishop,19153,2000
king,bishop,4228,2200
king,bishop,406,2400
king,bishop,43,2600
king,knight,487,800
king,knight,7942,1000
king,knight,34438,1200
king,knight,65581,1400
king,knight,61422,1600
king,knight,31399,1800
king,knight,9526,2000
king,knight,1907,2200
king,knight,157,2400
king,knight,7,2600
king,pawn,646,800
king,pawn,12719,1000
king,pawn,75120,1200
king,pawn,192195,1400
king,pawn,224706,1600
king,pawn,123918,1800
king,pawn,41287,2000
king,pawn,8589,2200
king,pawn,698,2400
king,pawn,51,2600
king,queen,274,800
king,queen,5734,1000
king,queen,28195,1200
king,queen,58666,1400
king,queen,58669,1600
king,queen,30765,1800
king,queen,10112,2000
king,queen,2157,2200
king,queen,178,2400
king,queen,14,2600
king,rook,362,800
king,rook,7564,1000
king,rook,42148,1200
king,rook,100742,1400
king,rook,110567,1600
king,rook,59850,1800
king,rook,18966,2000
king,rook,3990,2200
king,rook,310,2400
king,rook,22,2600
knight,bishop,1281,800
knight,bishop,28146,1000
knight,bishop,162615,1200
knight,bishop,381095,1400
knight,bishop,383891,1600
knight,bishop,188252,1800
knight,bishop,53903,2000
knight,bishop,10993,2200
knight,bishop,850,2400
knight,bishop,67,2600
knight,knight,1409,800
knight,knight,32127,1000
knight,knight,192934,1200
knight,knight,483616,1400
knight,knight,524774,1600
knight,knight,278261,1800
knight,knight,87280,2000
knight,knight,18466,2200
knight,knight,1606,2400
knight,knight,130,2600
knight,pawn,3817,800
knight,pawn,72567,1000
knight,pawn,362833,1200
knight,pawn,766771,1400
knight,pawn,750648,1600
knight,pawn,388170,1800
knight,pawn,119884,2000
knight,pawn,25933,2200
knight,pawn,2210,2400
knight,pawn,172,2600
knight,queen,675,800
knight,queen,10859,1000
knight,queen,50871,1200
knight,queen,99456,1400
knight,queen,91096,1600
knight,queen,44414,1800
knight,queen,12830,2000
knight,queen,2661,2200
knight,queen,190,2400
knight,queen,14,2600
knight,rook,809,800
knight,rook,15209,1000
knight,rook,70002,1200
knight,rook,141364,1400
knight,rook,134769,1600
knight,rook,68232,1800
knight,rook,20909,2000
knight,rook,4474,2200
knight,rook,355,2400
knight,rook,19,2600
pawn,bishop,1408,800
pawn,bishop,32043,1000
pawn,bishop,177039,1200
pawn,bishop,405092,1400
pawn,bishop,409618,1600
pawn,bishop,201580,1800
pawn,bishop,59827,2000
pawn,bishop,12397,2200
pawn,bishop,866,2400
pawn,bishop,74,2600
pawn,knight,1442,800
pawn,knight,29179,1000
pawn,knight,157453,1200
pawn,knight,372914,1400
pawn,knight,393059,1600
pawn,knight,204346,1800
pawn,knight,63045,2000
pawn,knight,13317,2200
pawn,knight,1005,2400
pawn,knight,81,2600
pawn,pawn,7264,800
pawn,pawn,139641,1000
pawn,pawn,790820,1200
pawn,pawn,1941408,1400
pawn,pawn,2161501,1600
pawn,pawn,1168853,1800
pawn,pawn,364539,2000
pawn,pawn,78723,2200
pawn,pawn,6691,2400
pawn,pawn,576,2600
pawn,queen,195,800
pawn,queen,4728,1000
pawn,queen,29234,1200
pawn,queen,72315,1400
pawn,queen,78079,1600
pawn,queen,41667,1800
pawn,queen,13238,2000
pawn,queen,2930,2200
pawn,queen,257,2400
pawn,queen,18,2600
pawn,rook,190,800
pawn,rook,3738,1000
pawn,rook,23346,1200
pawn,rook,66032,1400
pawn,rook,81604,1600
pawn,rook,46287,1800
pawn,rook,15341,2000
pawn,rook,3455,2200
pawn,rook,235,2400
pawn,rook,25,2600
queen,bishop,1307,800
queen,bishop,26010,1000
queen,bishop,141696,1200
queen,bishop,306613,1400
queen,bishop,299200,1600
queen,bishop,149177,1800
queen,bishop,43909,2000
queen,bishop,8972,2200
queen,bishop,756,2400
queen,bishop,59,2600
queen,knight,1425,800
queen,knight,25398,1000
queen,knight,127443,1200
queen,knight,273031,1400
queen,knight,260487,1600
queen,knight,126320,1800
queen,knight,36985,2000
queen,knight,7644,2200
queen,knight,606,2400
queen,knight,61,2600
queen,pawn,3824,800
queen,pawn,73725,1000
queen,pawn,358762,1200
queen,pawn,726884,1400
queen,pawn,673453,1600
queen,pawn,328826,1800
queen,pawn,98855,2000
queen,pawn,21091,2200
queen,pawn,1577,2400
queen,pawn,139,2600
queen,queen,880,800
queen,queen,22424,1000
queen,queen,134120,1200
queen,queen,316586,1400
queen,queen,333854,1600
queen,queen,175281,1800
queen,queen,55572,2000
queen,queen,11954,2200
queen,queen,1006,2400
queen,queen,84,2600
queen,rook,1070,800
