rank,file,piece,COUNT
0,0,bishop,55768
0,0,king,45343
0,0,knight,31993
0,0,pawn,32679
0,0,queen,95251
0,0,rook,261668
0,1,bishop,65829
0,1,king,175042
0,1,knight,49413
0,1,pawn,24788
0,1,queen,89130
0,1,rook,515117
0,2,bishop,108281
0,2,king,383056
0,2,knight,54576
0,2,pawn,22955
0,2,queen,150833
0,2,rook,763192
0,3,bishop,92077
0,3,king,184019
0,3,knight,76471
0,3,pawn,20986
0,3,queen,266607
0,3,rook,1090002
0,4,bishop,67171
0,4,king,161303
0,4,knight,81313
0,4,pawn,17927
0,4,queen,188607
0,4,rook,1277747
0,5,bishop,130642
0,5,king,368267
0,5,knight,100409
0,5,pawn,18579
0,5,queen,109515
0,5,rook,508491
0,6,bishop,24384
0,6,king,1816075
0,6,knight,37107
0,6,pawn,18786
0,6,queen,51910
0,6,rook,325289
0,7,bishop,28001
0,7,king,373592
0,7,knight,18817
0,7,pawn,23185
0,7,queen,64251
0,7,rook,186923
1,0,bishop,90412
1,0,king,67802
1,0,knight,46318
1,0,pawn,58664
1,0,queen,108294
1,0,rook,246107
1,1,bishop,432401
1,1,king,147124
1,1,knight,64968
1,1,pawn,57139
1,1,queen,220927
1,1,rook,262586
1,2,bishop,200125
1,2,king,221373
1,2,knight,162527
1,2,pawn,50979
1,2,queen,494226
1,2,rook,318115
1,3,bishop,559934
1,3,king,325724
1,3,knight,848624
1,3,pawn,50987
1,3,queen,594872
1,3,rook,390594
1,4,bishop,762403
1,4,king,425415
1,4,knight,587896
1,4,pawn,43366
1,4,queen,670390
1,4,rook,362780
1,5,bishop,155595
1,5,king,497737
1,5,knight,143946
1,5,pawn,41765
1,5,queen,248499
1,5,rook,344275
1,6,bishop,465068
1,6,king,519536
1,6,knight,55308
1,6,pawn,43594
1,6,queen,169104
1,6,rook,195349
1,7,bishop,72299
1,7,king,350683
1,7,knight,96325
1,7,pawn,44617
1,7,queen,97930
1,7,rook,157093
2,0,bishop,179242
2,0,king,72115
2,0,knight,142413
2,0,pawn,832152
2,0,queen,115468
2,0,rook,176440
2,1,bishop,304222
2,1,king,154211
2,1,knight,239158
2,1,pawn,804154
2,1,queen,346074
2,1,rook,173937
2,2,bishop,474543
2,2,king,210172
2,2,knight,1961175
2,2,pawn,1234017
2,2,queen,308659
2,2,rook,235677
2,3,bishop,959207
2,3,king,288864
2,3,knight,317895
2,3,pawn,822046
2,3,queen,508883
2,3,rook,286714
2,4,bishop,881714
2,4,king,348049
2,4,knight,333363
2,4,pawn,839812
2,4,queen,392574
2,4,rook,290929
2,5,bishop,627531
2,5,king,377387
2,5,knight,2564343
2,5,pawn,826231
2,5,queen,660409
2,5,rook,286473
2,6,bishop,261773
2,6,king,335277
2,6,knight,306408
2,6,pawn,950133
2,6,queen,308705
2,6,rook,181580
2,7,bishop,202565
2,7,king,177366
2,7,knight,135896
2,7,pawn,994713
2,7,queen,181103
2,7,rook,154409
3,0,bishop,144742
3,0,king,72655
3,0,knight,173391
3,0,pawn,849595
3,0,queen,231251
3,0,rook,154622
3,1,bishop,541814
3,1,king,144260
3,1,knight,299827
3,1,pawn,1159078
3,1,queen,215032
3,1,rook,152824
3,2,bishop,953543
3,2,king,193348
3,2,knight,474950
3,2,pawn,1687947
3,2,queen,274956
3,2,rook,204524
3,3,bishop,481279
3,3,king,226122
3,3,knight,1176642
3,3,pawn,3143581
3,3,queen,525345
3,3,rook,266434
3,4,bishop,507728
3,4,king,259189
3,4,knight,1322191
3,4,pawn,2739030
3,4,queen,408343
3,4,rook,277195
3,5,bishop,698170
3,5,king,271984
3,5,knight,448475
3,5,pawn,1348458
3,5,queen,331695
3,5,rook,226145
3,6,bishop,726737
3,6,king,239928
3,6,knight,450796
3,6,pawn,1049548
3,6,queen,383803
3,6,rook,149779
3,7,bishop,236898
3,7,king,135318
3,7,knight,232423
3,7,pawn,859028
3,7,queen,311109
3,7,rook,137864
4,0,bishop,110248
4,0,king,74350
4,0,knight,192401
4,0,pawn,837317
4,0,queen,295647
4,0,rook,152689
4,1,bishop,604007
4,1,king,145346
4,1,knight,334669
4,1,pawn,1267064
4,1,queen,213735
4,1,rook,147826
4,2,bishop,671518
4,2,king,196384
4,2,knight,471704
4,2,pawn,1750424
4,2,queen,278399
4,2,rook,195152
4,3,bishop,495523
4,3,king,221933
4,3,knight,1159018
4,3,pawn,3139744
4,3,queen,529600
4,3,rook,263442
4,4,bishop,522793
4,4,king,256880
4,4,knight,1470807
4,4,pawn,2756062
4,4,queen,422003
4,4,rook,282902
4,5,bishop,611407
4,5,king,267924
4,5,knight,490950
4,5,pawn,1272327
4,5,queen,304604
4,5,rook,220710
4,6,bishop,888909
4,6,king,239279
4,6,knight,510975
4,6,pawn,1039865
4,6,queen,384180
4,6,rook,147333
4,7,bishop,203956
4,7,king,134647
4,7,knight,256196
4,7,pawn,861769
4,7,queen,353294
4,7,rook,136329
5,0,bishop,242525
5,0,king,73594
5,0,knight,158220
5,0,pawn,958786
5,0,queen,120929
5,0,rook,180306
