tosquarerank,tosquarefile,piece,COUNT(*),turn
0,0,bishop,36995,Black
0,0,bishop,18269,White
0,0,king,8230,Black
0,0,king,37113,White
0,0,knight,27632,Black
0,0,knight,4332,White
0,0,pawn,32666,Black
0,0,queen,63101,Black
0,0,queen,31950,White
0,0,rook,103968,Black
0,0,rook,157400,White
0,1,bishop,21279,Black
0,1,bishop,43338,White
0,1,king,12626,Black
0,1,king,162416,White
0,1,knight,9854,Black
0,1,knight,37826,White
0,1,pawn,24782,Black
0,1,queen,42817,Black
0,1,queen,46173,White
0,1,rook,83830,Black
0,1,rook,429630,White
0,2,bishop,28323,Black
0,2,bishop,78925,White
0,2,king,10922,Black
0,2,king,371665,White
0,2,knight,26552,Black
0,2,knight,28019,White
0,2,pawn,22952,Black
0,2,queen,58966,Black
0,2,queen,90332,White
0,2,rook,120263,Black
0,2,rook,642705,White
0,3,bishop,33758,Black
0,3,bishop,56274,White
0,3,king,9500,Black
0,3,king,168622,White
0,3,knight,29426,Black
0,3,knight,46346,White
0,3,pawn,20982,Black
0,3,queen,111290,Black
0,3,queen,128850,White
0,3,rook,179011,Black
0,3,rook,910970,White
0,4,bishop,23156,Black
0,4,bishop,44013,White
0,4,king,9424,Black
0,4,king,151444,White
0,4,knight,24746,Black
0,4,knight,56006,White
0,4,pawn,17927,Black
0,4,queen,69455,Black
0,4,queen,119018,White
0,4,rook,157040,Black
0,4,rook,1114776,White
0,5,bishop,46820,Black
0,5,bishop,82218,White
0,5,king,9546,Black
0,5,king,356537,White
0,5,knight,34921,Black
0,5,knight,65466,White
0,5,pawn,18575,Black
0,5,queen,47950,Black
0,5,queen,61514,White
0,5,rook,107805,Black
0,5,rook,400400,White
0,6,bishop,12837,Black
0,6,bishop,11208,White
0,6,king,10184,Black
0,6,king,1639827,White
0,6,knight,6731,Black
0,6,knight,27439,White
0,6,pawn,18784,Black
0,6,queen,33829,Black
0,6,queen,18027,White
0,6,rook,55912,Black
0,6,rook,268762,White
0,7,bishop,16576,Black
0,7,bishop,10842,White
0,7,king,6703,Black
0,7,king,366780,White
0,7,knight,13908,Black
0,7,knight,4895,White
0,7,pawn,23177,Black
0,7,queen,51824,Black
0,7,queen,11884,White
0,7,rook,68919,Black
0,7,rook,117832,White
1,0,bishop,31268,Black
1,0,bishop,56931,White
1,0,king,20008,Black
1,0,king,47794,White
1,0,knight,25795,Black
1,0,knight,20454,White
1,0,pawn,58652,Black
1,0,queen,82422,Black
1,0,queen,25829,White
1,0,rook,175142,Black
1,0,rook,70711,White
1,1,bishop,86775,Black
1,1,bishop,248432,White
1,1,king,33908,Black
1,1,king,113215,White
1,1,knight,44497,Black
1,1,knight,20448,White
1,1,pawn,54030,Black
1,1,queen,148375,Black
1,1,queen,70981,White
1,1,rook,185768,Black
1,1,rook,76811,White
1,2,bishop,54844,Black
1,2,bishop,143554,White
1,2,king,32381,Black
1,2,king,188980,White
1,2,knight,101150,Black
1,2,knight,60186,White
1,2,pawn,50703,Black
1,2,queen,106560,Black
1,2,queen,371952,White
1,2,rook,193123,Black
1,2,rook,124990,White
1,3,bishop,84998,Black
1,3,bishop,426860,White
1,3,king,26528,Black
1,3,king,298695,White
1,3,knight,94502,Black
1,3,knight,679416,White
1,3,pawn,50614,Black
1,3,queen,102314,Black
1,3,queen,479998,White
1,3,rook,192312,Black
1,3,rook,198282,White
1,4,bishop,95995,Black
1,4,bishop,543560,White
1,4,king,26428,Black
1,4,king,397004,White
1,4,knight,99451,Black
1,4,knight,434810,White
1,4,pawn,43297,Black
1,4,queen,98025,Black
1,4,queen,534013,White
1,4,rook,168135,Black
1,4,rook,194644,White
1,5,bishop,73030,Black
1,5,bishop,76467,White
1,5,king,27618,Black
1,5,king,465054,White
1,5,knight,91915,Black
1,5,knight,47537,White
1,5,pawn,41669,Black
1,5,queen,117324,Black
1,5,queen,130194,White
1,5,rook,151265,Black
1,5,rook,192997,White
1,6,bishop,82032,Black
1,6,bishop,194987,White
1,6,king,26645,Black
1,6,king,492838,White
1,6,knight,30173,Black
1,6,knight,25082,White
1,6,pawn,43445,Black
1,6,queen,99033,Black
1,6,queen,68579,White
1,6,rook,119432,Black
1,6,rook,75902,White
1,7,bishop,39247,Black
1,7,bishop,32721,White
1,7,king,16918,Black
1,7,king,333764,White
1,7,knight,19430,Black
1,7,knight,76733,White
1,7,pawn,44592,Black
1,7,queen,73419,Black
1,7,queen,24414,White
1,7,rook,105785,Black
1,7,rook,51157,White
2,0,bishop,63940,Black
2,0,bishop,111031,White
2,0,king,29023,Black
2,0,king,43092,White
2,0,knight,24275,Black
2,0,knight,111330,White
2,0,pawn,114155,Black
2,0,pawn,612730,White
2,0,queen,70595,Black
2,0,queen,44719,White
2,0,rook,115193,Black
2,0,rook,60426,White
2,1,bishop,52790,Black
2,1,bishop,230107,White
2,1,king,51549,Black
2,1,king,102640,White
2,1,knight,77188,Black
2,1,knight,156434,White
2,1,pawn,136262,Black
2,1,pawn,555369,White
2,1,queen,64874,Black
2,1,queen,266366,White
2,1,rook,103044,Black
2,1,rook,70870,White
2,2,bishop,255822,Black
2,2,bishop,187974,White
2,2,king,58122,Black
2,2,king,151976,White
2,2,knight,182816,Black
2,2,knight,829137,White
2,2,pawn,166818,Black
2,2,pawn,744060,White
2,2,queen,130373,Black
2,2,queen,175604,White
2,2,rook,137137,Black
2,2,rook,98517,White
2,3,bishop,135952,Black
2,3,bishop,668592,White
2,3,king,56878,Black
2,3,king,231810,White
2,3,knight,208125,Black
2,3,knight,108308,White
2,3,pawn,145736,Black
2,3,pawn,308067,White
2,3,queen,106494,Black
2,3,queen,389695,White
2,3,rook,136209,Black
2,3,rook,150452,White
2,4,bishop,125408,Black
2,4,bishop,690340,White
2,4,king,54075,Black
2,4,king,293776,White
2,4,knight,196411,Black
2,4,knight,136368,White
2,4,pawn,131241,Black
2,4,pawn,292397,White
2,4,queen,128704,Black
2,4,queen,257659,White
2,4,rook,119141,Black
2,4,rook,171703,White
2,5,bishop,306979,Black
2,5,bishop,284543,White
2,5,king,57504,Black
2,5,king,319748,White
2,5,knight,183862,Black
2,5,knight,905115,White
2,5,pawn,145137,Black
2,5,pawn,596855,White
2,5,queen,124603,Black
2,5,queen,469558,White
2,5,rook,110092,Black
2,5,rook,176349,White
2,6,bishop,75393,Black
2,6,bishop,177814,White
2,6,king,53081,Black
2,6,king,282069,White
2,6,knight,95521,Black
2,6,knight,197310,White
2,6,pawn,129993,Black
2,6,pawn,577909,White
2,6,queen,99901,Black
2,6,queen,205982,White
2,6,rook,78067,Black
2,6,rook,103478,White
2,7,bishop,122279,Black
2,7,bishop,75591,White
2,7,king,31756,Black
2,7,king,145600,White
2,7,knight,36214,Black
2,7,knight,84182,White
2,7,pawn,98683,Black
2,7,pawn,788621,White
2,7,queen,94666,Black
2,7,queen,85662,White
2,7,rook,80984,Black
2,7,rook,73069,White
