tosquarerank,tosquarefile,piece,COUNT(*),turn,avgrating
8,1,bishop,22,Black,800
8,1,bishop,371,Black,1000
8,1,bishop,2439,Black,1200
8,1,bishop,6719,Black,1400
8,1,bishop,8310,Black,1600
8,1,bishop,4516,Black,1800
8,1,bishop,1452,Black,2000
8,1,bishop,390,Black,2200
8,1,bishop,52,Black,2400
8,1,bishop,4,Black,2600
8,1,bishop,83,White,800
8,1,bishop,1445,White,1000
8,1,bishop,6369,White,1200
8,1,bishop,11772,White,1400
8,1,bishop,9436,White,1600
8,1,bishop,4719,White,1800
8,1,bishop,1406,White,2000
8,1,bishop,286,White,2200
8,1,bishop,33,White,2400
8,1,bishop,1,White,2600
8,1,king,26,Black,800
8,1,king,834,Black,1000
8,1,king,5392,Black,1200
8,1,king,12189,Black,1400
8,1,king,11938,Black,1600
8,1,king,5703,Black,1800
8,1,king,1893,Black,2000
8,1,king,456,Black,2200
8,1,king,27,Black,2400
8,1,king,1,Black,2600
8,1,king,5,White,800
8,1,king,171,White,1000
8,1,king,1066,White,1200
8,1,king,2165,White,1400
8,1,king,2167,White,1600
8,1,king,1202,White,1800
8,1,king,556,White,2000
8,1,king,81,White,2200
8,1,king,9,White,2400
8,1,knight,2,Black,800
8,1,knight,82,Black,1000
8,1,knight,496,Black,1200
8,1,knight,1389,Black,1400
8,1,knight,1731,Black,1600
8,1,knight,1048,Black,1800
8,1,knight,371,Black,2000
8,1,knight,73,Black,2200
8,1,knight,7,Black,2400
8,1,knight,124,White,800
8,1,knight,1931,White,1000
8,1,knight,7068,White,1200
8,1,knight,10459,White,1400
8,1,knight,7770,White,1600
8,1,knight,3642,White,1800
8,1,knight,1029,White,2000
8,1,knight,217,White,2200
8,1,knight,16,White,2400
8,1,knight,2,White,2600
8,1,pawn,61,White,800
8,1,pawn,894,White,1000
8,1,pawn,4588,White,1200
8,1,pawn,9446,White,1400
8,1,pawn,9303,White,1600
8,1,pawn,5199,White,1800
8,1,pawn,1702,White,2000
8,1,pawn,362,White,2200
8,1,pawn,33,White,2400
8,1,pawn,3,White,2600
8,1,queen,59,Black,800
8,1,queen,921,Black,1000
8,1,queen,5094,Black,1200
8,1,queen,11277,Black,1400
8,1,queen,10903,Black,1600
8,1,queen,5951,Black,1800
8,1,queen,2074,Black,2000
8,1,queen,495,Black,2200
