tosquarerank,tosquarefile,piece,COUNT(*),turn,avgrating
8,1,bishop,22,Black,800
8,1,bishop,354,Black,1000
8,1,bishop,2280,Black,1200
8,1,bishop,6320,Black,1400
8,1,bishop,7978,Black,1600
8,1,bishop,4380,Black,1800
8,1,bishop,1408,Black,2000
8,1,bishop,379,Black,2200
8,1,bishop,42,Black,2400
8,1,bishop,4,Black,2600
8,1,bishop,72,White,800
8,1,bishop,1200,White,1000
8,1,bishop,5405,White,1200
8,1,bishop,10258,White,1400
8,1,bishop,8397,White,1600
8,1,bishop,4288,White,1800
8,1,bishop,1297,White,2000
8,1,bishop,271,White,2200
8,1,bishop,32,White,2400
8,1,bishop,1,White,2600
8,1,king,26,Black,800
8,1,king,833,Black,1000
8,1,king,5386,Black,1200
8,1,king,12174,Black,1400
8,1,king,11930,Black,1600
8,1,king,5701,Black,1800
8,1,king,1893,Black,2000
8,1,king,456,Black,2200
8,1,king,27,Black,2400
8,1,king,1,Black,2600
8,1,king,5,White,800
8,1,king,171,White,1000
8,1,king,1066,White,1200
8,1,king,2165,White,1400
8,1,king,2167,White,1600
8,1,king,1202,White,1800
8,1,king,556,White,2000
8,1,king,81,White,2200
8,1,king,9,White,2400
8,1,knight,2,Black,800
8,1,knight,80,Black,1000
8,1,knight,485,Black,1200
8,1,knight,1375,Black,1400
8,1,knight,1717,Black,1600
8,1,knight,1043,Black,1800
8,1,knight,369,Black,2000
8,1,knight,73,Black,2200
8,1,knight,7,Black,2400
8,1,knight,104,White,800
8,1,knight,1584,White,1000
8,1,knight,5959,White,1200
8,1,knight,9070,White,1400
8,1,knight,7103,White,1600
8,1,knight,3400,White,1800
8,1,knight,956,White,2000
8,1,knight,205,White,2200
8,1,knight,14,White,2400
8,1,knight,2,White,2600
8,1,pawn,60,White,800
8,1,pawn,887,White,1000
8,1,pawn,4550,White,1200
8,1,pawn,9401,White,1400
8,1,pawn,9271,White,1600
8,1,pawn,5191,White,1800
8,1,pawn,1700,White,2000
