tosquarerank,tosquarefile,piece,COUNT(*),turn,Skill
0,0,bishop,8276,Black,Bad
0,0,bishop,6365,Black,Good
0,0,bishop,2190,White,Bad
0,0,bishop,4924,White,Good
0,0,king,1379,Black,Bad
0,0,king,2077,Black,Good
0,0,king,5545,White,Bad
0,0,king,8989,White,Good
0,0,knight,8470,Black,Bad
0,0,knight,3700,Black,Good
0,0,knight,563,White,Bad
0,0,knight,1102,White,Good
0,0,pawn,5304,Black,Bad
0,0,pawn,7662,Black,Good
0,0,queen,14562,Black,Bad
0,0,queen,11134,Black,Good
0,0,queen,5408,White,Bad
0,0,queen,7153,White,Good
0,0,rook,15860,Black,Bad
0,0,rook,24903,Black,Good
0,0,rook,23342,White,Bad
0,0,rook,36948,White,Good
0,1,bishop,3538,Black,Bad
0,1,bishop,5162,Black,Good
0,1,bishop,2762,White,Bad
0,1,bishop,14243,White,Good
0,1,king,2090,Black,Bad
0,1,king,3162,Black,Good
0,1,king,23041,White,Bad
0,1,king,40092,White,Good
0,1,knight,1624,Black,Bad
0,1,knight,2216,Black,Good
0,1,knight,5341,White,Bad
0,1,knight,10408,White,Good
0,1,pawn,3758,Black,Bad
0,1,pawn,6067,Black,Good
0,1,queen,7831,Black,Bad
0,1,queen,9477,Black,Good
0,1,queen,6378,White,Bad
0,1,queen,11954,White,Good
0,1,rook,12154,Black,Bad
0,1,rook,20732,Black,Good
0,1,rook,64409,White,Bad
0,1,rook,99235,White,Good
0,2,bishop,4525,Black,Bad
0,2,bishop,6710,Black,Good
0,2,bishop,9474,White,Bad
0,2,bishop,21784,White,Good
0,2,king,1742,Black,Bad
0,2,king,2657,Black,Good
0,2,king,62305,White,Bad
0,2,king,79454,White,Good
0,2,knight,4640,Black,Bad
0,2,knight,6077,Black,Good
0,2,knight,3105,White,Bad
0,2,knight,8215,White,Good
0,2,pawn,3789,Black,Bad
0,2,pawn,5345,Black,Good
0,2,queen,10308,Black,Bad
0,2,queen,13125,Black,Good
0,2,queen,11293,White,Bad
0,2,queen,23627,White,Good
0,2,rook,14835,Black,Bad
0,2,rook,32828,Black,Good
0,2,rook,74649,White,Bad
0,2,rook,176915,White,Good
0,3,bishop,6475,Black,Bad
0,3,bishop,7644,Black,Good
0,3,bishop,6643,White,Bad
0,3,bishop,15083,White,Good
0,3,king,1563,Black,Bad
0,3,king,2294,Black,Good
0,3,king,40582,White,Bad
0,3,king,31101,White,Good
0,3,knight,5200,Black,Bad
0,3,knight,6420,Black,Good
0,3,knight,6248,White,Bad
0,3,knight,13051,White,Good
0,3,pawn,3180,Black,Bad
0,3,pawn,5151,Black,Good
0,3,queen,22180,Black,Bad
0,3,queen,24769,Black,Good
0,3,queen,22595,White,Bad
0,3,queen,32631,White,Good
0,3,rook,27013,Black,Bad
0,3,rook,43841,Black,Good
0,3,rook,124654,White,Bad
0,3,rook,234495,White,Good
0,4,bishop,3703,Black,Bad
0,4,bishop,5598,Black,Good
0,4,bishop,4643,White,Bad
0,4,bishop,12334,White,Good
0,4,king,1523,Black,Bad
0,4,king,2386,Black,Good
0,4,king,29062,White,Bad
0,4,king,32277,White,Good
0,4,knight,4481,Black,Bad
0,4,knight,5579,Black,Good
0,4,knight,6206,White,Bad
0,4,knight,16613,White,Good
0,4,pawn,2663,Black,Bad
0,4,pawn,4592,Black,Good
0,4,queen,12008,Black,Bad
0,4,queen,14956,Black,Good
0,4,queen,15558,White,Bad
0,4,queen,30467,White,Good
0,4,rook,24319,Black,Bad
0,4,rook,35569,Black,Good
0,4,rook,164605,White,Bad
