tosquarerank,tosquarefile,piece,COUNT(*)
0,0,bishop,55264
0,0,king,45343
0,0,knight,31964
0,0,pawn,32666
0,0,queen,95051
0,0,rook,261368
0,1,bishop,64617
0,1,king,175042
0,1,knight,47680
0,1,pawn,24782
0,1,queen,88990
0,1,rook,513460
0,2,bishop,107248
0,2,king,382587
0,2,knight,54571
0,2,pawn,22952
0,2,queen,149298
0,2,rook,762968
0,3,bishop,90032
0,3,king,178122
0,3,knight,75772
0,3,pawn,20982
0,3,queen,240140
0,3,rook,1089981
0,4,bishop,67169
0,4,king,160868
0,4,knight,80752
0,4,pawn,17927
0,4,queen,188473
0,4,rook,1271816
0,5,bishop,129038
0,5,king,366083
0,5,knight,100387
0,5,pawn,18575
0,5,queen,109464
0,5,rook,508205
0,6,bishop,24045
0,6,king,1650011
0,6,knight,34170
0,6,pawn,18784
0,6,queen,51856
0,6,rook,324674
0,7,bishop,27418
0,7,king,373483
0,7,knight,18803
0,7,pawn,23177
0,7,queen,63708
0,7,rook,186751
1,0,bishop,88199
1,0,king,67802
1,0,knight,46249
1,0,pawn,58652
1,0,queen,108251
1,0,rook,245853
1,1,bishop,335207
1,1,king,147123
1,1,knight,64945
1,1,pawn,54030
1,1,queen,219356
1,1,rook,262579
1,2,bishop,198398
1,2,king,221361
1,2,knight,161336
1,2,pawn,50703
1,2,queen,478512
1,2,rook,318113
1,3,bishop,511858
1,3,king,325223
1,3,knight,773918
1,3,pawn,50614
1,3,queen,582312
1,3,rook,390594
1,4,bishop,639555
1,4,king,423432
1,4,knight,534261
1,4,pawn,43297
1,4,queen,632038
1,4,rook,362779
1,5,bishop,149497
1,5,king,492672
1,5,knight,139452
1,5,pawn,41669
1,5,queen,247518
1,5,rook,344262
1,6,bishop,277019
1,6,king,519483
1,6,knight,55255
1,6,pawn,43445
1,6,queen,167612
1,6,rook,195334
1,7,bishop,71968
1,7,king,350682
1,7,knight,96163
1,7,pawn,44592
1,7,queen,97833
1,7,rook,156942
2,0,bishop,174971
2,0,king,72115
2,0,knight,135605
2,0,pawn,726885
2,0,queen,115314
2,0,rook,175619
2,1,bishop,282897
2,1,king,154189
2,1,knight,233622
2,1,pawn,691631
2,1,queen,331240
2,1,rook,173914
2,2,bishop,443796
2,2,king,210098
2,2,knight,1011953
2,2,pawn,910878
2,2,queen,305977
2,2,rook,235654
2,3,bishop,804544
2,3,king,288688
2,3,knight,316433
2,3,pawn,453803
2,3,queen,496189
2,3,rook,286661
2,4,bishop,815748
2,4,king,347851
2,4,knight,332779
2,4,pawn,423638
2,4,queen,386363
2,4,rook,290844
2,5,bishop,591522
2,5,king,377252
2,5,knight,1088977
2,5,pawn,741992
2,5,queen,594161
2,5,rook,286441
2,6,bishop,253207
2,6,king,335150
2,6,knight,292831
2,6,pawn,707902
2,6,queen,305883
2,6,rook,181545
2,7,bishop,197870
2,7,king,177356
2,7,knight,120396
2,7,pawn,887304
2,7,queen,180328
2,7,rook,154053
3,0,bishop,126647
3,0,king,72655
3,0,knight,171511
3,0,pawn,817554
3,0,queen,218674
3,0,rook,154424
3,1,bishop,407475
3,1,king,144249
3,1,knight,288893
3,1,pawn,1110414
3,1,queen,211800
3,1,rook,152808
3,2,bishop,544604
3,2,king,193307
3,2,knight,469998
3,2,pawn,1058827
3,2,queen,270423
3,2,rook,204513
3,3,bishop,476507
3,3,king,226101
3,3,knight,989366
3,3,pawn,1359674
3,3,queen,460672
3,3,rook,266429
3,4,bishop,499631
3,4,king,259160
3,4,knight,1228473
3,4,pawn,1095085
3,4,queen,398675
3,4,rook,277176
3,5,bishop,592553
3,5,king,271928
3,5,knight,446023
3,5,pawn,1087908
3,5,queen,329035
3,5,rook,226137
3,6,bishop,566498
3,6,king,239894
3,6,knight,435180
3,6,pawn,1019434
3,6,queen,378059
3,6,rook,149758
3,7,bishop,222429
3,7,king,135300
3,7,knight,228861
3,7,pawn,829835
3,7,queen,293368
3,7,rook,137556
4,0,bishop,103524
